FLYBASE,query,SYMBOL,GENENAME,chromosome_name,start_position,end_position
FBgn0000241,bw,bw,brown,2R,23527805,23538499
FBgn0000244,by,by,blistery,3R,9528238,9533011
FBgn0000246,c(3)G,c(3)G,crossover suppressor on 3 of Gowen,3R,15789473,15792579
FBgn0000247,ca,ca,claret,3R,29806811,29815047
FBgn0000250,cact,cact,cactus,2L,16313036,16326207
FBgn0000251,cad,cad,caudal,2L,20770731,20783135
FBgn0000253,Cam,Cam,Calmodulin,2R,12259398,12278809
FBgn0000256,capu,capu,cappuccino,2L,3872646,3902860
FBgn0000257,car,car,carnation,X,19566019,19569401
FBgn0000259,CkIIbeta,CkIIbeta,Casein kinase II beta subunit,X,11792533,11801587
FBgn0000261,Cat,Cat,Catalase,3L,18822604,18828188
FBgn0000273,Pka-C1,Pka-C1,"Protein kinase, cAMP-dependent, catalytic subunit 1",2L,9682315,9699297
FBgn0000274,Pka-C2,Pka-C2,"Protein kinase, cAMP-dependent, catalytic subunit 2",3R,30695537,30697138
FBgn0000276,CecA1,CecA1,Cecropin A1,3R,30210874,30211273
FBgn0000277,CecA2,CecA2,Cecropin A2,3R,30212156,30212568
FBgn0000278,CecB,CecB,Cecropin B,3R,30213315,30213797
FBgn0000279,CecC,CecC,Cecropin C,3R,30216484,30216938
FBgn0000280,Cec-Psi1,Cec-Psi1,Cecropin pseudogene 1,3R,30211527,30211753
FBgn0000283,Cp190,Cp190,Centrosomal protein 190kD,3R,15270432,15275241
FBgn0000286,Cf2,Cf2,Chorion factor 2,2L,4876891,4883107
FBgn0000287,salr,salr,spalt-related,2L,11358873,11373636
FBgn0000289,cg,cg,combgap,2R,14173693,14182838
FBgn0000299,Cg25C,Col4a1,Collagen type IV alpha 1,2L,5029609,5037279
FBgn0000302,Cha,cha,chaff,,,
FBgn0000307,chif,chif,chiffon,2L,16342430,16352628
FBgn0000308,chic,chic,chickadee,2L,5972115,5981018
FBgn0000316,cin,cin,cinnamon,X,255674,258469
FBgn0000317,ck,ck,crinkled,2L,15044963,15057862
FBgn0000318,cl,cl,clot,2L,5520135,5521382
FBgn0000319,Chc,Chc,Clathrin heavy chain,X,15827986,15835490
FBgn0000320,eya,eya,eyes absent,2L,6527447,6546976
FBgn0000326,clt,clt,cricklet,2R,21617061,21619079
FBgn0000330,cm,cm,carmine,X,7009006,7011145
FBgn0000337,cn,cn,cinnabar,2R,7782797,7785067
FBgn0000339,cni,cni,cornichon,2L,16309292,16310726
FBgn0000346,comt,comt,comatose,X,13259021,13262488
FBgn0000351,cort,cort,cortex,2L,6674682,6676635
FBgn0000352,cos,cos,costa,2R,7382176,7387115
FBgn0000355,Cp15,Cp15,Chorion protein 15,3L,8728481,8729066
FBgn0000357,Cp18,Cp18,Chorion protein 18,3L,8726791,8727613
FBgn0000358,Cp19,Cp19,Chorion protein 19,3L,8729865,8730604
FBgn0000359,Cp36,Cp36,Chorion protein 36,X,8479319,8480523
FBgn0000364,CPTI,Cpt,Clipt,,,
FBgn0000370,crc,crc,cryptocephal,2L,21310866,21319527
FBgn0000376,crm,crm,cramped,X,2734248,2738773
FBgn0000377,crn,crn,crooked neck,X,2247594,2249983
FBgn0000382,csw,csw,corkscrew,X,2094234,2115701
FBgn0000384,cta,cta,concertina,2L,22981816,22992951
FBgn0000392,cup,cup,cup,2L,6663664,6674780
FBgn0000394,cv,cv,crossveinless,X,5690002,5693084
FBgn0000395,cv-2,cv-2,crossveinless 2,2R,21355015,21379464
FBgn0000404,CycA,CycA,Cyclin A,3L,11826719,11833578
FBgn0000405,CycB,CycB,Cyclin B,2R,22803521,22806948
FBgn0000406,Cyt-b5-r,Cyt-b5-r,Cytochrome b5-related,2L,16788774,16790721
FBgn0000411,D,D,Dichaete,3L,14175610,14178620
FBgn0000412,D1,D1,D1 chromosomal protein,3R,9238083,9240654
FBgn0000414,Dab,Dab,Disabled,3L,16712126,16724575
FBgn0000416,Sap-r,Sap-r,Saposin-related,3R,30883464,30889062
FBgn0000422,Ddc,Ddc,Dopa decarboxylase,2L,19116483,19120306
FBgn0000426,SmF,SmF,Small ribonucleoprotein particle protein SmF,2R,12183844,12184310
FBgn0000439,Dfd,Dfd,Deformed,3R,6791836,6802428
FBgn0000442,Pkg21D,Pkg21D,"Protein kinase, cGMP-dependent at 21D",2L,786153,790798
FBgn0000447,Dhod,Dhod,Dihydroorotate dehydrogenase,3R,8651391,8652916
FBgn0000448,Hr46,Hr3,Hormone receptor 3,2R,10203995,10237348
FBgn0000449,dib,dib,disembodied,3L,4062292,4064551
FBgn0000451,ect,ect,ectodermal,3L,10190276,10201837
FBgn0000454,Dip-B,Dip-B,Dipeptidase B,3R,13782288,13785676
FBgn0000455,Dip-C,Dip-C,Dipeptidase C,3R,12411809,12413759
FBgn0000459,disco,disco,disconnected,X,16210598,16216750
FBgn0000463,Dl,Dl,Delta,3R,19302731,19326217
FBgn0000464,Lar,Lar,Leukocyte-antigen-related-like,2L,19586623,19732069
FBgn0000473,Cyp6a2,Cyp6a2,Cytochrome P450-6a2,2R,6779749,6781491
FBgn0000477,DNaseII,DNaseII,Deoxyribonuclease II,3R,18019375,18021161
FBgn0000479,dnc,dnc,dunce,X,3176440,3343767
FBgn0000482,dor,dor,deep orange,X,1665052,1668451
FBgn0000489,Pka-C3,Pka-C3,"Protein kinase, cAMP-dependent, catalytic subunit 3",3L,15925805,15954797
FBgn0000490,dpp,dpp,decapentaplegic,2L,2428372,2459823
FBgn0000492,Dr,Dr,Drop,3R,29556386,29565244
FBgn0000499,dsh,dsh,dishevelled,X,11355881,11358724
FBgn0000500,Dsk,Dsk,Drosulfakinin,3R,4189692,4190260
FBgn0000504,dsx,dsx,doublesex,3R,7924323,7967408
FBgn0000520,dwg,dwg,deformed wings,X,2727698,2730042
FBgn0000524,dx,dx,deltex,X,6533999,6538575
FBgn0000527,e,e,ebony,3R,21229839,21237177
FBgn0000529,bsh,bsh,brain-specific homeobox,2L,19765776,19769067
FBgn0000533,ea,ea,easter,3R,15328729,15330408
FBgn0000535,eag,eag,ether a go-go,X,14955477,15009989
FBgn0000536,eas,eas,easily shocked,X,16278328,16285618
FBgn0000541,E(bx),E(bx),Enhancer of bithorax,3L,233926,246912
FBgn0000542,ec,ec,echinus,X,3811698,3857621
FBgn0000543,ecd,ecd,ecdysoneless,3L,2263581,2265857
FBgn0000546,EcR,EcR,Ecdysone receptor,2R,6087873,6169087
FBgn0000547,ed,ed,echinoid,2L,4031377,4115749
FBgn0000551,Edg78E,Edg78E,Ecdysone-dependent gene 78E,3L,21296763,21297803
FBgn0000552,Edg84A,Edg84A,Ecdysone-dependent gene 84A,3R,6684445,6685157
FBgn0000557,Ef1alpha100E,eEF1alpha2,eukaryotic translation elongation factor 1 alpha 2,3R,31738468,31743306
FBgn0000559,Ef2b,eEF2,eukaryotic translation elongation factor 2,2L,21677913,21682164
FBgn0000560,eg,eg,eagle,3L,21808703,21817600
FBgn0000562,egl,egl,egalitarian,2R,23734904,23746829
FBgn0000565,Eip71CD,MsrA,Methionine sulfoxide reductase A,3L,15511052,15513202
FBgn0000566,Eip55E,Eip55E,Ecdysone-induced protein 55E,2R,18627918,18629395
FBgn0000567,Eip74EF,Eip74EF,Ecdysone-induced protein 74EF,3L,17558672,17619325
FBgn0000568,Eip75B,Eip75B,Ecdysone-induced protein 75B,3L,17950953,18064696
FBgn0000575,emc,emc,extra macrochaetae,3L,749400,753492
FBgn0000576,ems,ems,empty spiracles,3R,13901853,13904620
FBgn0000577,en,en,engrailed,2R,11524006,11528210
FBgn0000578,ena,ena,enabled,2R,19141632,19163705
FBgn0000579,Eno,Eno,Enolase,2L,1724768,1729636
FBgn0000581,E(Pc),E(Pc),Enhancer of Polycomb,2R,11452043,11465270
FBgn0000588,esc,esc,extra sexcombs,2L,11827204,11829405
FBgn0000591,E(spl),E(spl)m8-HLH,"Enhancer of split m8, helix-loop-helix",3R,26040240,26041008
FBgn0000592,Est-6,Est-6,Esterase 6,3L,12188818,12190705
FBgn0000594,Est-P,Est-P,Esterase P,3L,12190733,12192528
FBgn0000606,eve,eve,even skipped,2R,9979319,9980795
FBgn0000611,exd,exd,extradenticle,X,15992468,15996509
FBgn0000615,exu,exu,exuperantia,2R,20667427,20671083
FBgn0000617,e(y)1,e(y)1,enhancer of yellow 1,X,17842161,17843348
FBgn0000618,e(y)2,e(y)2,enhancer of yellow 2,X,11576118,11576620
FBgn0000625,eyg,eyg,eyegone,3L,12462537,12468021
FBgn0000629,E(z),E(z),Enhancer of zeste,3L,10634575,10638130
FBgn0000633,fas,CG17716,uncharacterized protein,2R,13623044,13749367
FBgn0000635,Fas2,Fas2,Fasciclin 2,X,4132887,4206093
FBgn0000636,Fas3,Fas3,Fasciclin 3,2L,18320102,18393441
FBgn0000639,Fbp1,Fbp1,Fat body protein 1,3L,14094589,14098053
FBgn0000640,Fbp2,Fbp2,Fat body protein 2,2L,9426784,9427917
FBgn0000644,Fcp3C,Fcp3C,Follicle cell protein 3C,X,3173376,3174474
FBgn0000658,fj,fj,four-jointed,2R,18232761,18236311
FBgn0000659,fkh,fkh,fork head,3R,28580976,28585264
FBgn0000662,fl(2)d,fl(2)d,female lethal d,2R,13819624,13824553
FBgn0000667,Actn,Actn,alpha actinin,X,2023822,2042311
FBgn0000709,fliI,fliI,flightless I,X,21339741,21345088
FBgn0000711,flw,flw,flapwing,X,10385960,10409817
FBgn0000715,Fmrf,FMRFa,FMRFamide,2R,9906294,9910457
FBgn0000719,fog,fog,folded gastrulation,X,22824317,22855194
FBgn0000721,for,for,foraging,2L,3622074,3656953
FBgn0000723,Fps85D,FER,FER tyrosine kinase,3R,9367603,9394546
FBgn0000808,gd,gd,gastrulation-defective,X,11985154,11987764
FBgn0000810,fs(1)K10,fs(1)K10,female sterile (1) K10,X,2242138,2246041
FBgn0000826,png,png,pan gu,X,1356488,1357601
FBgn0000927,fs(1)Ya,fs(1)Ya,female sterile (1) Young arrest,X,2724286,2726577
FBgn0000928,fs(1)Yb,fs(1)Yb,female sterile (1) Yb,X,2720468,2724158
FBgn0000964,tj,tj,traffic jam,2L,19464267,19467758
FBgn0000996,dup,dup,double parked,2R,15376619,15380988
FBgn0001075,ft,ft,fat,2L,4198404,4221796
FBgn0001077,ftz,ftz,fushi tarazu,3R,6864324,6866244
FBgn0001078,ftz-f1,ftz-f1,ftz transcription factor 1,3L,18750607,18801309
FBgn0001079,fu,fu,fused,X,18657755,18661204
FBgn0001083,fw,fw,furrowed,X,11992915,12003914
FBgn0001084,fy,fy,fuzzy,2L,8401476,8403280
FBgn0001085,fz,fz,frizzled,3L,14274343,14368639
FBgn0001086,fzy,fzy,fizzy,2L,16310956,16313097
FBgn0001087,g,g,garnet,X,13727204,13736278
FBgn0001089,Gal,Gal,beta galactosidase,2L,6003574,6006827
FBgn0001090,bnb,bnb,bangles and beads,X,18794246,18797687
FBgn0001091,Gapdh1,Gapdh1,Glyceraldehyde 3 phosphate dehydrogenase 1,2R,7791901,7793380
FBgn0001092,Gapdh2,Gapdh2,Glyceraldehyde 3 phosphate dehydrogenase 2,X,15868145,15869661
FBgn0001098,Gdh,Gdh,Glutamate dehydrogenase,3R,23935958,23943101
FBgn0001099,gdl,gdl,gonadal,3L,15509445,15511047
FBgn0001104,G-ialpha65A,Galphai,G protein alpha i subunit,3L,6972750,6980044
FBgn0001105,Gbeta13F,Gbeta13F,G protein beta-subunit 13F,X,15860115,15866175
FBgn0001108,Gl,DCTN1-p150,"Dynactin 1, p150 subunit",3L,13929387,13934656
FBgn0001112,Gld,Gld,Glucose dehydrogenase,3R,7252063,7265703
FBgn0001114,Glt,Glt,Glutactin,2L,8672698,8676804
FBgn0001120,gnu,gnu,giant nuclei,3L,14802380,14803360
FBgn0001122,G-oalpha47A,Galphao,G protein alpha o subunit,2R,10437985,10465701
FBgn0001123,G-salpha60A,Galphas,G protein alpha s subunit,2R,23942538,23946936
FBgn0001124,Got1,Got1,Glutamate oxaloacetate transaminase 1,2R,16138352,16141928
FBgn0001125,Got2,Got2,Glutamate oxaloacetate transaminase 2,2L,1984512,1987758
FBgn0001128,Gpdh,Gpdh1,Glycerol-3-phosphate dehydrogenase 1,2L,5943643,5948968
FBgn0001133,grau,grau,grauzone,2R,21009764,21011921
FBgn0001134,Grd,Grd,Glycine receptor,3L,17823333,17839767
FBgn0001137,grk,grk,gurken,2L,8431086,8433598
FBgn0001138,grn,grn,grain,3R,8147368,8181444
FBgn0001139,gro,gro,groucho,3R,26041736,26049911
FBgn0001142,Gs1,Gs1,Glutamine synthetase 1,2L,132077,134472
FBgn0001145,Gs2,Gs2,Glutamine synthetase 2,X,11422832,11430197
FBgn0001147,gsb-n,gsb-n,gooseberry-neuro,2R,25040383,25052331
FBgn0001148,gsb,gsb,gooseberry,2R,25061964,25064643
FBgn0001149,GstD1,GstD1,Glutathione S transferase D1,3R,12367817,12369268
FBgn0001150,gt,gt,giant,X,2427113,2428967
FBgn0001168,h,h,hairy,3L,8675759,8679253
FBgn0001169,H,H,Hairless,3R,20621938,20628915
FBgn0001170,H2.0,H2.0,Homeodomain protein 2.0,2L,6013059,6019402
FBgn0001174,halo,halo,halo,2L,1517533,1518148
FBgn0001179,hay,hay,haywire,3L,10631079,10633969
FBgn0001180,hb,hb,hunchback,3R,8690980,8697822
FBgn0001185,her,her,hermaphrodite,2L,16677185,16679691
FBgn0001186,Hex-A,Hex-A,Hexokinase A,X,9585675,9589813
FBgn0001187,Hex-C,Hex-C,Hexokinase C,2R,15218837,15220329
FBgn0001189,hfw,hfw,halfway,X,1669570,1673608
FBgn0001197,His2Av,His2Av,Histone H2A variant,3R,26866929,26869220
FBgn0001202,hk,hook,hook,2L,19030844,19033498
FBgn0001206,Hmr,Hmr,Hybrid male rescue,X,10590920,10595855
FBgn0001208,Hn,Hn,Henna,3L,7760453,7763166
FBgn0001215,Hrb98DE,Hrb98DE,Heterogeneous nuclear ribonucleoprotein at 98DE,3R,28599834,28605777
FBgn0001216,Hsc70-1,Hsc70-1,Heat shock protein cognate 1,3L,13974061,13977761
FBgn0001217,Hsc70-2,Hsc70-2,Heat shock protein cognate 2,3R,13044759,13047388
FBgn0001218,Hsc70-3,Hsc70-3,Heat shock 70-kDa protein cognate 3,X,11801696,11807117
FBgn0001220,Hsc70-5,Hsc70-5,Heat shock protein cognate 5,2R,14252598,14256192
FBgn0001222,Hsf,Hsf,Heat shock factor,2R,18130303,18134634
FBgn0001223,Hsp22,Hsp22,Heat shock protein 22,3L,9372931,9374964
FBgn0001224,Hsp23,Hsp23,Heat shock protein 23,3L,9381882,9382765
FBgn0001225,Hsp26,Hsp26,Heat shock protein 26,3L,9376418,9377427
FBgn0001226,Hsp27,Hsp27,Heat shock protein 27,3L,9384063,9385694
FBgn0001227,Hsp67Ba,Hsp67Ba,Heat shock gene 67Ba,3L,9377802,9379534
FBgn0001229,Hsp67Bc,Hsp67Bc,Heat shock gene 67Bc,3L,9371511,9372497
FBgn0001230,Hsp68,Hsp68,Heat shock protein 68,3R,24055080,24057310
FBgn0001233,Hsp83,Hsp83,Heat shock protein 83,3L,3192969,3197059
FBgn0001234,Hsromega,lncRNA:Hsromega,Heat shock RNA omega,3R,21296127,21317836
FBgn0001235,hth,hth,homothorax,3R,10507561,10639568
FBgn0001247,Ide,Ide,Insulin degrading metalloproteinase,3L,20371672,20375896
FBgn0001248,Idh,Idh,Isocitrate dehydrogenase,3L,8356404,8360906
FBgn0001250,if,if,inflated,X,16752189,16783434
FBgn0001253,ImpE1,ImpE1,Ecdysone-inducible gene E1,3L,8372405,8391171
FBgn0001254,ImpE2,ImpE2,Ecdysone-inducible gene E2,3L,3510974,3512681
FBgn0001255,ImpE3,ImpE3,Ecdysone-inducible gene E3,3R,8028453,8029546
FBgn0001256,ImpL1,ImpL1,Ecdysone-inducible gene L1,3L,13382765,13383999
FBgn0001257,ImpL2,ImpL2,Ecdysone-inducible gene L2,3L,4224006,4236147
FBgn0001258,ImpL3,Ldh,Lactate dehydrogenase,3L,6259105,6262694
FBgn0001259,in,in,inturned,3L,20367198,20370259
FBgn0001263,inaD,inaD,inactivation no afterpotential D,2R,22855688,22858794
FBgn0001269,inv,inv,invected,2R,11474465,11509695
FBgn0001276,ix,ix,intersex,2R,11359437,11360163
FBgn0001280,janA,janA,janus A,3R,30038622,30039533
FBgn0001291,Jra,Jra,Jun-related antigen,2R,10096480,10098556
FBgn0001296,kar,kar,karmoisin,3R,12682186,12689367
FBgn0001297,kay,kay,kayak,3R,29765995,29794113
FBgn0001301,kel,kel,kelch,2L,18129884,18138083
FBgn0001308,Khc,Khc,Kinesin heavy chain,2R,16266960,16271971
FBgn0001311,kkv,kkv,krotzkopf verkehrt,3R,5378093,5392866
FBgn0001313,kl-2,kl-2,male fertility factor kl2,Y,573088,664173
FBgn0001316,klar,klar,klarsicht,3L,434083,540614
FBgn0001319,kn,kn,knot,2R,14772650,14807061
FBgn0001320,kni,kni,knirps,3L,20692330,20695378
FBgn0001321,knk,knk,knickkopf,3R,10122365,10125664
FBgn0001323,knrl,knrl,knirps-like,3L,20597141,20620659
FBgn0001324,kto,kto,kohtalo,3L,19836614,19844944
FBgn0001325,Kr,Kr,Kruppel,2R,25226611,25231394
FBgn0001330,kz,kz,kurz,X,2237858,2242035
FBgn0001341,l(1)1Bi,Mybbp1A,MYB binding protein 1a,X,629773,633633
FBgn0001404,egh,egh,egghead,X,2588503,2599111
FBgn0001491,l(1)10Bb,l(1)10Bb,lethal (1) 10Bb,X,11324294,11325308
FBgn0001565,Hlc,Hlc,Helicase,X,21385518,21387946
FBgn0001612,l(1)dd4,Grip91,Gamma-tubulin ring protein 91,X,13736570,13744683
FBgn0001624,dlg1,dlg1,discs large 1,X,11369665,11409776
FBgn0001941,ifc,ifc,infertile crescent,2L,5986348,5988854
FBgn0001942,eIF-4a,eIF4A,eukaryotic translation initiation factor 4A,2L,5981764,5985909
FBgn0001965,Sos,Sos,Son of sevenless,2L,13813816,13819824
FBgn0001967,nimC3,NimC3,Nimrod C3,2L,14019357,14020208
FBgn0001970,Pgant35A,Pgant35A,Polypeptide N-acetylgalactosaminyltransferase 35A,2L,14359252,14361411
FBgn0001977,l(2)35Bg,CIAPIN1,Cytokine induced apoptosis inhibitor 1,2L,15036293,15038861
FBgn0001978,stc,stc,shuttle craft,2L,15113480,15118069
FBgn0001981,esg,esg,escargot,2L,15333866,15336138
FBgn0001983,wor,wor,worniu,2L,15423297,15425580
FBgn0001986,l(2)35Df,Mtr4,Mtr4 helicase,2L,15752263,15755900
FBgn0001987,Gli,Gli,Gliotactin,2L,15756002,15762758
FBgn0001989,l(2)35Di,ND-B17,NADH dehydrogenase (ubiquinone) B17 subunit,2L,15749319,15751078
FBgn0001990,wek,wek,weckle,2L,15766133,15768349
FBgn0001991,Ca-alpha1D,Ca-alpha1D,Ca[2+]-channel protein alpha[[1]] subunit D,2L,16165831,16190540
FBgn0001992,Cyp303a1,Cyp303a1,Cyp303a1,2L,16294183,16296969
FBgn0001994,crp,crp,cropped,2L,16263556,16287730
FBgn0001995,mRpL4,mRpL4,mitochondrial ribosomal protein L4,2L,16328059,16329132
FBgn0002021,l(2)37Bb,l(2)37Bb,lethal (2) 37Bb,2L,19049843,19051612
FBgn0002022,Catsup,Catsup,Catecholamines up,2L,19041862,19043614
FBgn0002023,Lim3,Lim3,Lim3,2L,19079256,19108427
FBgn0002031,l(2)37Cc,l(2)37Cc,lethal (2) 37Cc,2L,19121345,19123869
FBgn0002036,CG10561,CG10561,uncharacterized protein,2L,19114401,19116570
FBgn0002044,swm,swm,second mitotic wave missing,2L,19493251,19497978
FBgn0002069,Aats-asp,AspRS,Aspartyl-tRNA synthetase,2R,12877004,12883168
FBgn0002121,l(2)gl,l(2)gl,lethal (2) giant larvae,2L,9839,21376
FBgn0002174,l(2)tid,CG5504,uncharacterized protein,2R,23706913,23709026
FBgn0002183,dre4,dre4,dre4,3L,1871574,1876312
FBgn0002283,l(3)73Ah,l(3)73Ah,lethal (3) 73Ah,3L,16588475,16590132
FBgn0002284,Pros26,Prosbeta6,Proteasome beta6 subunit,3L,16609400,16610418
FBgn0002306,sas,sas,stranded at second,3R,7162808,7183702
FBgn0002354,l(3)87Df,l(3)87Df,lethal (3) 87Df,3R,13030913,13031598
FBgn0002413,dco,dco,discs overgrown,3R,31054085,31061210
FBgn0002431,hyd,hyd,hyperplastic discs,3R,9714623,9725615
FBgn0002440,l(3)mbn,l(3)mbn,lethal (3) malignant blood neoplasm,3L,6123934,6128807
FBgn0002441,l(3)mbt,l(3)mbt,lethal (3) malignant brain tumor,3R,27266326,27273273
FBgn0002466,sti,sti,sticky,3L,12507998,12514815
FBgn0002521,pho,pho,pleiohomeotic,4,1172469,1181628
FBgn0002522,lab,lab,labial,3R,6661427,6678590
FBgn0002524,lace,lace,lace,2L,15499127,15505018
FBgn0002525,Lam,Lam,Lamin,2L,5542480,5546642
FBgn0002526,LanA,LanA,Laminin A,3L,6203831,6218022
FBgn0002531,Lcp1,Lcp1,Larval cuticle protein 1,2R,8430115,8431243
FBgn0002533,Lcp2,Lcp2,Larval cuticle protein 2,2R,8433797,8434785
FBgn0002534,Lcp3,Lcp3,Larval cuticle protein 3,2R,8435310,8436095
FBgn0002535,Lcp4,Lcp4,Larval cuticle protein 4,2R,8437647,8438495
FBgn0002542,lds,lds,lodestar,3R,7920431,7924491
FBgn0002552,lin,lin,lines,2R,8914524,8918234
FBgn0002561,l(1)sc,l(1)sc,lethal of scute,X,409721,410817
FBgn0002562,Lsp1alpha,Lsp1alpha,Larval serum protein 1 alpha,X,12490291,12492982
FBgn0002563,Lsp1beta,Lsp1beta,Larval serum protein 1 beta,2L,898500,901316
FBgn0002564,Lsp1gamma,Lsp1gamma,Larval serum protein 1 gamma,3L,66430,68995
FBgn0002565,Lsp2,Lsp2,Larval serum protein 2,3L,12129393,12131869
FBgn0002566,lt,lt,light,2L,22924795,22943135
FBgn0002567,ltd,Rab32,Rab32,2R,9177864,9186342
FBgn0002569,LvpD,Mal-A2,Maltase A2,2R,8453627,8455782
FBgn0002570,LvpH,Mal-A1,Maltase A1,2R,8449664,8451904
FBgn0002571,LvpL,Mal-A3,Maltase A3,2R,8455909,8457892
FBgn0002573,sens,sens,senseless,3L,13396228,13401125
FBgn0002576,lz,lz,lozenge,X,9284649,9303636
FBgn0002577,m,m,miniature,X,11754273,11769508
FBgn0002578,m1,Kaz-m1,Kazal-type protease inhibitor m1,3R,26014721,26016487
FBgn0002579,RpL36,RpL36,Ribosomal protein L36,X,628338,629483
