GENEID,TXNAME,TXCHROM,TXSTRAND,exonic.gene.sizes
FBgn0000233,FBtr0071379,X,+,2934
FBgn0000239,FBtr0343875,2L,-,3116
FBgn0000241,FBtr0072117,2R,-,2738
FBgn0000244,FBtr0082119,3R,-,4774
FBgn0000246,FBtr0083194,3R,-,2629
FBgn0000247,FBtr0085484,3R,+,7026
FBgn0000250,FBtr0080845,2L,-,3324
FBgn0000251,FBtr0081412,2L,+,2570
FBgn0000253,FBtr0088001,2R,+,5812
FBgn0000256,FBtr0290079,2L,-,6240
FBgn0000257,FBtr0074727,X,+,3205
FBgn0000259,FBtr0308085,X,+,5705
FBgn0000261,FBtr0075058,3L,+,1993
FBgn0000273,FBtr0079851,2L,-,5725
FBgn0000274,FBtr0085727,3R,-,1349
FBgn0000276,FBtr0085612,3R,+,339
FBgn0000277,FBtr0085614,3R,+,355
FBgn0000278,FBtr0085640,3R,-,425
FBgn0000279,FBtr0085616,3R,+,386
FBgn0000280,FBtr0085613,3R,+,166
FBgn0000281,FBtr0089614,3R,+,201
FBgn0000283,FBtr0083127,3R,-,4293
FBgn0000286,FBtr0304887,2L,-,4315
FBgn0000287,FBtr0307093,2L,+,5536
FBgn0000289,FBtr0087526,2R,+,5429
FBgn0000299,FBtr0079003,2L,+,6165
FBgn0000303,FBtr0089368,3R,+,4011
FBgn0000307,FBtr0080838,2L,-,7747
FBgn0000308,FBtr0079236,2L,-,2632
FBgn0000316,FBtr0070064,X,+,2110
FBgn0000317,FBtr0080723,2L,-,7404
FBgn0000318,FBtr0329967,2L,+,716
FBgn0000319,FBtr0074180,X,-,6008
FBgn0000320,FBtr0306113,2L,-,3690
FBgn0000326,FBtr0071687,2R,-,1844
FBgn0000330,FBtr0332315,X,-,1774
FBgn0000337,FBtr0344723,2R,-,1790
FBgn0000339,FBtr0337082,2L,-,1182
FBgn0000346,FBtr0073754,X,+,3087
FBgn0000351,FBtr0333350,2L,-,1655
FBgn0000352,FBtr0089015,2R,-,4763
FBgn0000355,FBtr0076572,3L,+,515
FBgn0000356,FBtr0076574,3L,+,522
FBgn0000357,FBtr0076571,3L,+,649
FBgn0000358,FBtr0076573,3L,+,651
FBgn0000359,FBtr0071203,X,+,1116
FBgn0000360,FBtr0071204,X,+,1249
FBgn0000370,FBtr0081512,2L,+,3423
FBgn0000376,FBtr0070496,X,-,3886
FBgn0000377,FBtr0070418,X,-,2332
FBgn0000382,FBtr0070378,X,+,8732
FBgn0000384,FBtr0111126,2L,+,2764
FBgn0000392,FBtr0346452,2L,+,4306
FBgn0000394,FBtr0340465,X,+,2053
FBgn0000395,FBtr0071610,2R,-,4329
FBgn0000404,FBtr0304650,3L,-,2919
FBgn0000405,FBtr0071914,2R,-,3047
FBgn0000406,FBtr0331931,2L,-,1557
FBgn0000411,FBtr0333035,3L,-,2935
FBgn0000412,FBtr0081988,3R,-,1877
FBgn0000414,FBtr0305084,3L,+,9270
FBgn0000416,FBtr0085714,3R,-,3527
FBgn0000422,FBtr0081166,2L,-,2797
FBgn0000426,FBtr0088010,2R,-,467
FBgn0000427,FBtr0310269,X,-,5748
FBgn0000439,FBtr0081621,3R,+,2739
FBgn0000442,FBtr0078042,2L,-,2583
FBgn0000447,FBtr0081890,3R,-,1472
FBgn0000448,FBtr0306345,2R,-,10465
FBgn0000449,FBtr0073205,3L,+,1975
FBgn0000451,FBtr0076307,3L,-,3741
FBgn0000454,FBtr0082831,3R,+,2102
FBgn0000455,FBtr0082597,3R,-,1951
FBgn0000459,FBtr0074250,X,-,3247
FBgn0000463,FBtr0083739,3R,-,5278
FBgn0000464,FBtr0331242,2L,+,10337
FBgn0000473,FBtr0086133,2R,-,1674
FBgn0000477,FBtr0083538,3R,+,1228
FBgn0000479,FBtr0070509,X,+,16683
FBgn0000482,FBtr0070269,X,+,3161
FBgn0000489,FBtr0075529,3L,-,3091
FBgn0000490,FBtr0077771,2L,+,5214
FBgn0000492,FBtr0085441,3R,+,2552
FBgn0000499,FBtr0073454,X,+,2844
FBgn0000500,FBtr0078989,3R,-,569
FBgn0000504,FBtr0330073,3R,-,9053
FBgn0000520,FBtr0070487,X,+,2002
FBgn0000524,FBtr0070914,X,+,3828
FBgn0000527,FBtr0084106,3R,-,3142
FBgn0000529,FBtr0089320,2L,-,2012
FBgn0000533,FBtr0083083,3R,+,1527
FBgn0000535,FBtr0303285,X,+,10636
FBgn0000536,FBtr0308617,X,+,4627
FBgn0000541,FBtr0072521,3L,-,10072
FBgn0000542,FBtr0112801,X,+,8400
FBgn0000543,FBtr0072903,3L,-,2204
FBgn0000546,FBtr0302439,2R,-,9934
FBgn0000547,FBtr0077465,2L,+,6425
FBgn0000551,FBtr0078408,3L,-,967
FBgn0000552,FBtr0081688,3R,+,652
FBgn0000557,FBtr0085832,3R,+,2656
FBgn0000559,FBtr0332966,2L,-,3056
FBgn0000560,FBtr0078437,3L,+,2033
FBgn0000562,FBtr0343272,2R,-,4515
FBgn0000564,FBtr0083444,3R,-,704
FBgn0000565,FBtr0075552,3L,+,1354
FBgn0000566,FBtr0086710,2R,+,1478
FBgn0000567,FBtr0100411,3L,-,9332
FBgn0000568,FBtr0306814,3L,-,13451
FBgn0000575,FBtr0072578,3L,+,2049
FBgn0000576,FBtr0082863,3R,+,2478
FBgn0000577,FBtr0088096,2R,-,2792
FBgn0000578,FBtr0100174,2R,+,6075
FBgn0000579,FBtr0077906,2L,-,3718
FBgn0000581,FBtr0330622,2R,+,10946
FBgn0000588,FBtr0080325,2L,-,1704
FBgn0000591,FBtr0084961,3R,+,769
FBgn0000592,FBtr0076003,3L,+,1837
FBgn0000594,FBtr0076004,3L,+,1740
FBgn0000606,FBtr0088390,2R,+,1406
FBgn0000611,FBtr0074135,X,+,3302
FBgn0000615,FBtr0086244,2R,-,3290
FBgn0000617,FBtr0074463,X,+,1124
FBgn0000618,FBtr0073540,X,-,503
FBgn0000625,FBtr0339921,3L,-,3148
FBgn0000629,FBtr0273338,3L,-,2665
FBgn0000633,FBtr0087625,2R,+,5978
FBgn0000635,FBtr0336884,X,-,7306
FBgn0000636,FBtr0112804,2L,+,6612
FBgn0000639,FBtr0075749,3L,-,3465
FBgn0000640,FBtr0343428,2L,+,1074
FBgn0000644,FBtr0070542,X,-,963
FBgn0000658,FBtr0086754,2R,+,3551
FBgn0000659,FBtr0345227,3R,-,4289
FBgn0000662,FBtr0087647,2R,-,2977
FBgn0000667,FBtr0070345,X,-,5272
FBgn0000709,FBtr0077192,X,+,4827
FBgn0000711,FBtr0071446,X,+,4276
FBgn0000715,FBtr0088383,2R,+,1427
FBgn0000719,FBtr0333182,X,-,6564
FBgn0000721,FBtr0089306,2L,-,6929
FBgn0000723,FBtr0479757,3R,-,5437
FBgn0000808,FBtr0347416,X,-,2261
FBgn0000810,FBtr0070396,X,+,3052
FBgn0000826,FBtr0070234,X,-,1114
FBgn0000927,FBtr0070485,X,+,2235
FBgn0000928,FBtr0070484,X,+,3502
FBgn0000964,FBtr0301669,2L,+,3492
FBgn0000996,FBtr0339999,2R,-,3138
FBgn0001075,FBtr0077478,2L,-,16852
FBgn0001077,FBtr0081625,3R,+,1774
FBgn0001078,FBtr0304627,3L,-,8581
FBgn0001079,FBtr0074602,X,+,3251
FBgn0001083,FBtr0112806,X,-,4698
FBgn0001084,FBtr0331992,2L,-,1688
FBgn0001085,FBtr0075743,3L,+,3817
FBgn0001086,FBtr0080833,2L,+,1996
FBgn0001087,FBtr0331710,X,-,4404
FBgn0001089,FBtr0079230,2L,-,2345
FBgn0001090,FBtr0074656,X,-,2726
FBgn0001091,FBtr0100479,2R,-,1480
FBgn0001092,FBtr0074112,X,+,1443
FBgn0001098,FBtr0089496,3R,-,2343
FBgn0001099,FBtr0091757,3L,+,1175
FBgn0001104,FBtr0076934,3L,-,2067
FBgn0001105,FBtr0074107,X,+,5605
FBgn0001108,FBtr0075756,3L,+,4550
FBgn0001112,FBtr0081596,3R,-,2899
FBgn0001114,FBtr0079727,2L,+,3373
FBgn0001120,FBtr0075697,3L,-,923
FBgn0001122,FBtr0088264,2R,+,6415
FBgn0001123,FBtr0072142,2R,+,2112
FBgn0001124,FBtr0087231,2R,+,1770
FBgn0001125,FBtr0077868,2L,-,1734
FBgn0001128,FBtr0333228,2L,+,3152
FBgn0001133,FBtr0071548,2R,-,1894
FBgn0001134,FBtr0075139,3L,+,4071
FBgn0001137,FBtr0079708,2L,-,1718
FBgn0001138,FBtr0081808,3R,-,4090
FBgn0001139,FBtr0084962,3R,+,4455
FBgn0001142,FBtr0300568,2L,+,2396
FBgn0001145,FBtr0073494,X,+,2231
FBgn0001147,FBtr0072461,2R,-,2237
FBgn0001148,FBtr0072444,2R,+,1649
FBgn0001149,FBtr0082607,3R,-,843
FBgn0001150,FBtr0070460,X,-,1780
FBgn0001168,FBtr0100153,3L,+,2335
FBgn0001169,FBtr0083915,3R,+,6004
FBgn0001170,FBtr0079227,2L,-,1662
FBgn0001174,FBtr0114554,2L,-,616
FBgn0001179,FBtr0076253,3L,+,2628
FBgn0001180,FBtr0081951,3R,-,3835
FBgn0001185,FBtr0080883,2L,+,2378
FBgn0001186,FBtr0333335,X,+,4139
FBgn0001187,FBtr0087399,2R,-,1493
FBgn0001189,FBtr0070270,X,+,3038
FBgn0001197,FBtr0085062,3R,+,1224
FBgn0001202,FBtr0081180,2L,-,2317
FBgn0001206,FBtr0071511,X,-,4696
FBgn0001208,FBtr0076811,3L,+,2115
FBgn0001215,FBtr0085298,3R,+,2743
FBgn0001216,FBtr0075761,3L,+,2718
FBgn0001217,FBtr0082707,3R,+,2174
FBgn0001218,FBtr0345166,X,-,3589
FBgn0001220,FBtr0339969,2R,-,2922
FBgn0001222,FBtr0086782,2R,-,2910
FBgn0001223,FBtr0100558,3L,+,1900
FBgn0001224,FBtr0076453,3L,+,884
FBgn0001225,FBtr0076496,3L,-,1010
FBgn0001226,FBtr0076454,3L,+,1632
FBgn0001227,FBtr0076495,3L,-,1733
FBgn0001228,FBtr0303474,3L,+,2109
FBgn0001229,FBtr0076497,3L,-,987
FBgn0001230,FBtr0084589,3R,-,2231
FBgn0001233,FBtr0332873,3L,+,2960
FBgn0001234,FBtr0309958,3R,+,21710
FBgn0001235,FBtr0082255,3R,-,11839
FBgn0001247,FBtr0273273,3L,-,3439
FBgn0001248,FBtr0076671,3L,-,2434
FBgn0001250,FBtr0301354,X,-,6011
FBgn0001253,FBtr0076607,3L,+,6264
FBgn0001254,FBtr0073141,3L,-,1708
FBgn0001255,FBtr0310412,3R,-,1094
FBgn0001256,FBtr0075842,3L,+,1235
FBgn0001257,FBtr0333569,3L,-,2667
FBgn0001258,FBtr0332065,3L,-,1942
FBgn0001259,FBtr0078183,3L,+,3062
FBgn0001263,FBtr0071909,2R,-,2331
FBgn0001269,FBtr0088068,2R,+,5919
FBgn0001276,FBtr0088154,2R,-,727
FBgn0001280,FBtr0085596,3R,-,740
FBgn0001281,FBtr0085598,3R,-,569
FBgn0001285,FBtr0088704,2R,+,1397
FBgn0001291,FBtr0088410,2R,+,1642
FBgn0001296,FBtr0082666,3R,-,2678
FBgn0001297,FBtr0099988,3R,+,7789
FBgn0001301,FBtr0081042,2L,-,5476
FBgn0001308,FBtr0087184,2R,-,3718
FBgn0001311,FBtr0078798,3R,-,5701
FBgn0001313,FBtr0346722,Y,+,13386
FBgn0001316,FBtr0110818,3L,-,11717
FBgn0001319,FBtr0329882,2R,-,4391
FBgn0001320,FBtr0344836,3L,-,2215
FBgn0001321,FBtr0082194,3R,-,2674
FBgn0001323,FBtr0078212,3L,-,3909
FBgn0001324,FBtr0074884,3L,+,7776
FBgn0001325,FBtr0072449,2R,+,4411
FBgn0001330,FBtr0070419,X,-,3927
FBgn0001341,FBtr0070119,X,+,3680
FBgn0001404,FBtr0070439,X,+,4662
FBgn0001491,FBtr0073460,X,-,934
FBgn0001565,FBtr0077221,X,-,2116
FBgn0001612,FBtr0073841,X,-,3571
FBgn0001624,FBtr0073483,X,+,11505
FBgn0001941,FBtr0079179,2L,+,2201
FBgn0001942,FBtr0079176,2L,+,2480
FBgn0001961,FBtr0080569,2L,-,1732
FBgn0001965,FBtr0080541,2L,+,5635
FBgn0001967,FBtr0290243,2L,-,852
FBgn0001970,FBtr0080629,2L,+,2160
FBgn0001977,FBtr0080725,2L,-,2358
FBgn0001978,FBtr0080705,2L,+,4145
FBgn0001981,FBtr0080734,2L,+,2273
FBgn0001983,FBtr0080740,2L,-,2222
FBgn0001986,FBtr0080760,2L,+,3585
FBgn0001987,FBtr0080769,2L,-,4468
FBgn0001989,FBtr0343722,2L,-,992
FBgn0001990,FBtr0331282,2L,-,2033
FBgn0001991,FBtr0332021,2L,+,10481
FBgn0001992,FBtr0080828,2L,+,2787
FBgn0001994,FBtr0343814,2L,-,4402
FBgn0001995,FBtr0080843,2L,-,1012
FBgn0002021,FBtr0081177,2L,-,1708
FBgn0002022,FBtr0081143,2L,+,1698
FBgn0002023,FBtr0309834,2L,-,4281
FBgn0002031,FBtr0346428,2L,-,2119
FBgn0002036,FBtr0081155,2L,+,2052
FBgn0002044,FBtr0081244,2L,+,4249
FBgn0002069,FBtr0332882,2R,+,2266
FBgn0002121,FBtr0078170,2L,-,5986
FBgn0002174,FBtr0089505,2R,+,2070
FBgn0002183,FBtr0072864,3L,-,3690
FBgn0002283,FBtr0075311,3L,+,1404
FBgn0002284,FBtr0075360,3L,-,944
FBgn0002306,FBtr0334884,3R,+,6236
FBgn0002354,FBtr0082703,3R,+,551
FBgn0002413,FBtr0334548,3R,-,4783
FBgn0002431,FBtr0082090,3R,-,9083
FBgn0002440,FBtr0077062,3L,-,2321
FBgn0002441,FBtr0085175,3R,-,5398
FBgn0002466,FBtr0075970,3L,-,6084
FBgn0002521,FBtr0089204,4,-,2381
FBgn0002522,FBtr0308035,3R,-,3046
FBgn0002524,FBtr0343735,2L,+,2991
FBgn0002525,FBtr0346460,2L,+,3737
FBgn0002526,FBtr0077014,3L,-,11690
FBgn0002531,FBtr0333557,2R,-,1065
FBgn0002533,FBtr0333556,2R,-,927
FBgn0002534,FBtr0333554,2R,+,730
FBgn0002535,FBtr0333555,2R,+,792
FBgn0002542,FBtr0081758,3R,+,3543
FBgn0002543,FBtr0077941,2L,-,6206
FBgn0002552,FBtr0088651,2R,+,3654
FBgn0002561,FBtr0070074,X,+,1097
FBgn0002562,FBtr0073651,X,+,2625
FBgn0002563,FBtr0345738,2L,+,2749
FBgn0002564,FBtr0072463,3L,+,2501
FBgn0002565,FBtr0089324,3L,+,2477
FBgn0002566,FBtr0111123,2L,+,5368
FBgn0002567,FBtr0346636,2R,-,4081
FBgn0002569,FBtr0088747,2R,+,2036
FBgn0002570,FBtr0088759,2R,-,1826
FBgn0002571,FBtr0088758,2R,-,1795
FBgn0002573,FBtr0075862,3L,-,2451
FBgn0002576,FBtr0071320,X,+,3468
FBgn0002577,FBtr0073555,X,+,3405
FBgn0002578,FBtr0084957,3R,+,1705
FBgn0002579,FBtr0345321,X,-,686
FBgn0002590,FBtr0345132,X,-,1386
FBgn0002592,FBtr0084981,3R,-,957
FBgn0002593,FBtr0078056,2L,+,768
FBgn0002609,FBtr0084958,3R,+,1305
FBgn0002622,FBtr0084410,3R,+,1133
FBgn0002626,FBtr0085594,3R,-,796
FBgn0002629,FBtr0084980,3R,-,759
FBgn0002631,FBtr0084979,3R,-,882
FBgn0002632,FBtr0084959,3R,+,1137
FBgn0002633,FBtr0084960,3R,+,982
FBgn0002638,FBtr0077075,3L,-,2365
FBgn0002641,FBtr0344987,X,+,3209
FBgn0002643,FBtr0087596,2R,+,8869
FBgn0002645,FBtr0334299,3R,-,6046
FBgn0002673,FBtr0331445,2L,-,2379
FBgn0002707,FBtr0343574,X,-,3606
FBgn0002709,FBtr0299823,X,-,6310
FBgn0002715,FBtr0071761,2R,+,1703
FBgn0002716,FBtr0086461,2R,+,2300
FBgn0002719,FBtr0330025,3R,-,3074
FBgn0002723,FBtr0073521,X,+,5088
FBgn0002732,FBtr0084956,3R,+,676
FBgn0002733,FBtr0084982,3R,-,978
FBgn0002734,FBtr0084954,3R,+,1013
FBgn0002735,FBtr0084955,3R,+,911
FBgn0002736,FBtr0071569,2R,+,1103
FBgn0002772,FBtr0344131,3R,-,1414
FBgn0002773,FBtr0089747,3R,-,2286
FBgn0002774,FBtr0100576,2R,-,4641
FBgn0002775,FBtr0076926,3L,-,1970
FBgn0002778,FBtr0075626,3L,+,2546
FBgn0002780,FBtr0085874,3R,+,2287
FBgn0002781,FBtr0343765,3R,-,12432
FBgn0002783,FBtr0083238,3R,-,3983
FBgn0002787,FBtr0332921,2R,+,1532
FBgn0002789,FBtr0087745,2R,+,948
FBgn0002791,FBtr0072156,2R,+,2555
FBgn0002838,FBtr0085063,3R,+,711
FBgn0002842,FBtr0078401,3L,-,956
FBgn0002855,FBtr0079155,2L,-,958
FBgn0002856,FBtr0079157,2L,-,504
FBgn0002862,FBtr0082884,3R,-,623
FBgn0002863,FBtr0084561,3R,+,243
FBgn0002865,FBtr0085277,3R,+,1319
FBgn0002868,FBtr0334686,3R,-,700
FBgn0002869,FBtr0346153,3R,-,584
FBgn0002872,FBtr0072856,3L,-,4117
FBgn0002873,FBtr0308326,X,+,8895
FBgn0002878,FBtr0073817,X,+,4868
FBgn0002887,FBtr0346117,2L,+,3950
FBgn0002891,FBtr0088831,2R,+,6750
FBgn0002899,FBtr0076689,3L,+,3364
FBgn0002901,FBtr0075122,3L,+,2816
FBgn0002905,FBtr0082662,3R,-,6420
FBgn0002906,FBtr0082434,3R,-,4806
FBgn0002909,FBtr0076839,3L,+,4022
FBgn0002914,FBtr0074171,X,-,2928
FBgn0002917,FBtr0344823,X,+,7875
FBgn0002921,FBtr0333324,3R,+,6680
FBgn0002922,FBtr0084472,3R,-,1532
FBgn0002924,FBtr0085534,3R,-,2720
FBgn0002926,FBtr0076984,3L,-,8230
FBgn0002930,FBtr0089052,2R,-,1633
FBgn0002931,FBtr0290323,2L,-,2225
FBgn0002932,FBtr0082003,3R,-,4309
FBgn0002933,FBtr0070523,X,+,523
FBgn0002936,FBtr0078023,2L,+,871
FBgn0002937,FBtr0082820,3R,+,2164
FBgn0002938,FBtr0079436,2L,+,5425
FBgn0002939,FBtr0302454,2L,+,1788
FBgn0002940,FBtr0083857,3R,-,1588
FBgn0002941,FBtr0084123,3R,-,2670
FBgn0002945,FBtr0075039,3L,-,5062
FBgn0002948,FBtr0340297,X,+,2449
FBgn0002962,FBtr0083732,3R,+,2349
FBgn0002973,FBtr0079821,2L,+,4916
FBgn0002985,FBtr0077557,2L,-,2347
FBgn0002989,FBtr0077673,2L,-,2878
FBgn0003002,FBtr0078836,3R,+,2939
FBgn0003008,FBtr0072152,2R,+,823
FBgn0003009,FBtr0343199,2R,-,3915
FBgn0003011,FBtr0083784,3R,+,2158
FBgn0003015,FBtr0081954,3R,+,2869
FBgn0003016,FBtr0301496,2L,-,6846
FBgn0003023,FBtr0333147,X,-,3420
FBgn0003028,FBtr0070738,X,+,7400
FBgn0003034,FBtr0075836,3L,+,223
FBgn0003041,FBtr0306647,3L,-,5781
FBgn0003042,FBtr0078405,3L,-,2462
FBgn0003044,FBtr0086735,2R,+,4384
FBgn0003046,FBtr0079388,2L,+,718
FBgn0003048,FBtr0344153,X,+,12119
FBgn0003053,FBtr0070680,X,+,7446
FBgn0003057,FBtr0346194,X,-,1711
FBgn0003060,FBtr0334496,3R,-,851
FBgn0003062,FBtr0071982,2R,-,1318
FBgn0003065,FBtr0085859,3R,-,1170
FBgn0003067,FBtr0086701,2R,+,2486
FBgn0003068,FBtr0070477,X,+,4527
FBgn0003071,FBtr0088420,2R,+,4377
FBgn0003074,FBtr0088681,2R,-,2460
FBgn0003076,FBtr0075492,3L,-,1843
FBgn0003079,FBtr0344007,X,+,4247
FBgn0003082,FBtr0088838,2R,+,1969
FBgn0003086,FBtr0070537,X,-,690
FBgn0003087,FBtr0080001,2L,+,978
FBgn0003089,FBtr0075003,3L,-,10964
FBgn0003090,FBtr0089042,2R,+,6748
FBgn0003091,FBtr0331960,2R,+,5739
FBgn0003093,FBtr0301516,3R,+,5772
FBgn0003114,FBtr0086306,2R,-,616
FBgn0003116,FBtr0070389,X,+,1638
FBgn0003117,FBtr0335427,3R,+,4361
FBgn0003118,FBtr0334554,3R,-,6119
FBgn0003124,FBtr0074839,3L,+,2980
FBgn0003129,FBtr0111026,3R,-,2566
FBgn0003130,FBtr0087311,2R,-,2458
FBgn0003132,FBtr0074017,X,-,1892
FBgn0003134,FBtr0084642,3R,+,3210
FBgn0003137,FBtr0300337,3R,-,9544
FBgn0003139,FBtr0070921,X,-,1675
FBgn0003140,FBtr0086817,2R,-,1175
FBgn0003141,FBtr0089395,2L,-,1073
FBgn0003145,FBtr0080299,2L,-,2695
FBgn0003149,FBtr0076595,3L,-,5356
FBgn0003159,FBtr0070404,X,-,5650
FBgn0003162,FBtr0071578,2R,+,2152
FBgn0003165,FBtr0333668,3R,-,11798
FBgn0003169,FBtr0334030,3R,-,4013
FBgn0003174,FBtr0332461,2R,+,5810
FBgn0003175,FBtr0331942,2R,-,10746
FBgn0003187,FBtr0080997,2L,-,3792
FBgn0003189,FBtr0089734,X,+,7126
FBgn0003204,FBtr0071495,X,+,2866
FBgn0003205,FBtr0082122,3R,-,1958
FBgn0003206,FBtr0073212,3L,+,1620
FBgn0003209,FBtr0340231,2L,-,5011
FBgn0003210,FBtr0070702,X,-,4813
FBgn0003218,FBtr0331717,X,+,9281
FBgn0003227,FBtr0083193,3R,-,4131
FBgn0003231,FBtr0081253,2L,+,2395
FBgn0003248,FBtr0083697,3R,+,1365
FBgn0003249,FBtr0083876,3R,-,1391
FBgn0003250,FBtr0075338,3L,-,1349
FBgn0003254,FBtr0330057,2R,+,4665
FBgn0003255,FBtr0080610,2L,-,5386
FBgn0003256,FBtr0113703,2R,+,7591
FBgn0003257,FBtr0084038,3R,-,2039
FBgn0003261,FBtr0302597,3R,-,5386
FBgn0003267,FBtr0085091,3R,-,1241
FBgn0003268,FBtr0085795,3R,+,6479
FBgn0003270,FBtr0081081,2L,-,786
FBgn0003274,FBtr0087105,2R,+,604
FBgn0003275,FBtr0078787,3R,+,541
FBgn0003277,FBtr0073542,X,-,6736
FBgn0003278,FBtr0078054,2L,+,3564
FBgn0003279,FBtr0085248,3R,+,1400
FBgn0003285,FBtr0343758,X,-,6251
FBgn0003292,FBtr0076146,3L,-,3268
FBgn0003295,FBtr0072681,3L,+,1798
FBgn0003300,FBtr0345922,X,+,3145
FBgn0003301,FBtr0333655,X,-,9618
FBgn0003302,FBtr0070889,X,-,1463
FBgn0003308,FBtr0082704,3R,+,4337
FBgn0003310,FBtr0077993,2L,-,5206
FBgn0003312,FBtr0082475,3R,+,1773
FBgn0003313,FBtr0308136,2L,+,1697
FBgn0003317,FBtr0088832,2R,+,2865
FBgn0003319,FBtr0344008,3R,+,4180
FBgn0003321,FBtr0073411,X,-,3545
FBgn0003326,FBtr0087855,2R,+,3796
FBgn0003330,FBtr0085245,3R,-,1542
FBgn0003334,FBtr0082102,3R,-,4069
FBgn0003339,FBtr0081657,3R,-,4577
FBgn0003345,FBtr0308128,X,+,8766
FBgn0003346,FBtr0081234,2L,+,2401
FBgn0003353,FBtr0343342,2R,+,3278
FBgn0003356,FBtr0085512,3R,-,862
FBgn0003357,FBtr0085502,3R,+,1240
FBgn0003358,FBtr0085511,3R,-,907
FBgn0003360,FBtr0073424,X,-,2006
FBgn0003366,FBtr0073393,X,-,8171
FBgn0003371,FBtr0070466,X,+,12445
FBgn0003372,FBtr0077393,2L,+,3950
FBgn0003373,FBtr0076096,3L,+,1109
FBgn0003374,FBtr0346736,X,+,952
FBgn0003375,FBtr0083461,3R,+,636
FBgn0003377,FBtr0076095,3L,+,321
FBgn0003378,FBtr0076160,3L,-,359
FBgn0003380,FBtr0089658,X,-,22552
FBgn0003382,FBtr0273343,2R,+,6115
FBgn0003386,FBtr0089274,2L,+,5000
FBgn0003388,FBtr0075676,3L,+,3016
FBgn0003390,FBtr0070978,X,-,1796
FBgn0003391,FBtr0071546,2R,-,6400
FBgn0003392,FBtr0074121,X,+,5989
FBgn0003396,FBtr0330619,2R,+,10997
