SYMBOL,tau,tissue,current_symbol,submitted_item,validated_id,FBID_KEY,ANNOTATION_SYMBOL,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,NAME,group
Aasdh,0.453604013150862,gut,Aasdh,Aasdh,FBgn0027780,FBgn0027780,CG13401,2L,8449576,8445861,-1,Aminoadipate-semialdehyde dehydrogenase,"(0.45,0.5]"
Aatf,0.699244107456788,ovary,Aatf,Aatf,FBgn0031851,FBgn0031851,CG11188,2L,6719389,6717625,1,Apoptosis antagonizing transcription factor,"(0.65,0.7]"
aay,0.689567573951354,fat.body,aay,aay,FBgn0023129,FBgn0023129,CG3705,3L,9424781,9423253,1,astray,"(0.65,0.7]"
ab,0.70709826317073,antenna,ab,ab,FBgn0264442,FBgn0264442,CG43860,2L,11261080,11210678,1,abrupt,"(0.7,0.75]"
Abca3,0.479975202803813,antenna,Abca3,ABCA,FBgn0031170,FBgn0031170,CG1718,X,21306665,21292308,-1,ATP binding cassette subfamily A member 3,"(0.45,0.5]"
ABCB7,0.594842001911577,malpighian.tubule,ABCB7,ABCB7,FBgn0035244,FBgn0035244,CG7955,3L,1623413,1618414,1,ATP binding cassette subfamily B member 7,"(0.55,0.6]"
Abcd3,0.727425279883534,male.reproductive.glands,Abcd3,Pmp70,FBgn0031069,FBgn0031069,CG12703,X,19759280,19750770,1,ATP binding cassette subfamily D member 3,"(0.7,0.75]"
abd-A,0.827439342378157,testis,abd-A,abd-A,FBgn0000014,FBgn0000014,CG10325,3R,16830049,16807214,-1,abdominal A,"(0.8,0.85]"
Abd-B,0.927678801352006,male.reproductive.glands,Abd-B,Abd-B,FBgn0000015,FBgn0000015,CG11648,3R,16972236,16927212,-1,Abdominal B,"(0.9,0.95]"
Abi,0.526677112471513,testis,Abi,Abi,FBgn0020510,FBgn0020510,CG9749,3R,14122420,14119262,-1,Abelson interacting protein,"(0.5,0.55]"
Abl,0.267399645436298,antenna,Abl,Abl,FBgn0000017,FBgn0000017,CG4032,3L,16647882,16615866,-1,Abl tyrosine kinase,"(0.25,0.3]"
abo,0.782281378252909,testis,abo,abo,FBgn0000018,FBgn0000018,CG6093,2L,10975293,10973443,-1,abnormal oocyte,"(0.75,0.8]"
Abp1,0.520422141553394,gut,Abp1,Abp1,FBgn0036372,FBgn0036372,CG10083,3L,13486280,13483533,-1,Actin binding protein 1,"(0.5,0.55]"
abs,0.756410981674041,testis,abs,abs,FBgn0015331,FBgn0015331,CG14637,3R,4235041,4233047,1,abstrakt,"(0.75,0.8]"
ac,0.939106414697215,ovary,ac,ac,FBgn0000022,FBgn0000022,CG3796,X,370947,370031,1,achaete,"(0.9,0.95]"
Ac13E,0.759703529518678,malpighian.tubule,Ac13E,Ac13E,FBgn0022710,FBgn0022710,CG9210,X,15554278,15510877,-1,Adenylyl cyclase 13E,"(0.75,0.8]"
Ac3,0.818072617443237,antenna,Ac3,Ac3,FBgn0023416,FBgn0023416,CG1506,2L,21647964,21632587,1,Adenylate cyclase 3,"(0.8,0.85]"
Ac76E,0.561927156726505,heart,Ac76E,Ac76E,FBgn0004852,FBgn0004852,CG7978,3L,19977960,19939287,1,Adenylyl cyclase 76E,"(0.55,0.6]"
Ac78C,0.912093131881567,malpighian.tubule,Ac78C,Ac78C,FBgn0024150,FBgn0024150,CG10564,3L,21171930,21136447,-1,Adenylyl cyclase 78C,"(0.9,0.95]"
Acat2,0.723509356139506,trachea,Acat2,CG9149,FBgn0035203,FBgn0035203,CG9149,3L,1304717,1302944,1,Acetyl-CoA acetyltransferase 2,"(0.7,0.75]"
Acbp1,0.569983480041999,trachea,Acbp1,Acbp1,FBgn0031992,FBgn0031992,CG8498,2L,8162452,8161796,-1,Acyl-CoA binding protein 1,"(0.55,0.6]"
Acbp2,0.870586620264524,male.reproductive.glands,Acbp2,Acbp2,FBgn0010387,FBgn0010387,CG8627,3L,7133463,7131863,1,Acyl-CoA binding protein 2,"(0.85,0.9]"
Acbp3,0.934910620579655,gut,Acbp3,Acbp3,FBgn0250836,FBgn0250836,CG8628,3L,7131505,7130874,1,Acyl-CoA binding protein 3,"(0.9,0.95]"
Acbp4,0.96322486718162,testis,Acbp4,Acbp4,FBgn0035742,FBgn0035742,CG8629,3L,7128264,7127913,-1,Acyl-CoA binding protein 4,"(0.95,1]"
Acbp5,0.975071740642884,gut,Acbp5,Acbp5,FBgn0035926,FBgn0035926,CG5804,3L,8788545,8788144,-1,Acyl-CoA binding protein 5,"(0.95,1]"
Acbp6,0.935876721913905,gut,Acbp6,Acbp6,FBgn0035743,FBgn0035743,CG15829,3L,7129673,7128903,1,Acyl-CoA binding protein 6,"(0.9,0.95]"
ACC,0.697589188779809,fat.body,ACC,ACC,FBgn0033246,FBgn0033246,CG11198,2R,7991862,7974115,-1,Acetyl-CoA carboxylase,"(0.65,0.7]"
AcCoAS,0.68210905180575,fat.body,AcCoAS,AcCoAS,FBgn0012034,FBgn0012034,CG9390,3L,21280243,21270722,-1,Acetyl Coenzyme A synthase,"(0.65,0.7]"
Ace,0.748628825708749,wing,Ace,Ace,FBgn0000024,FBgn0000024,CG17907,3R,13259517,13222951,-1,Acetylcholine esterase,"(0.7,0.75]"
Acer,0.813443908243429,fat.body,Acer,Acer,FBgn0016122,FBgn0016122,CG10593,2L,8525740,8521933,1,Angiotensin-converting enzyme-related,"(0.8,0.85]"
Acf,0.587348155324413,ovary,Acf,Acf,FBgn0027620,FBgn0027620,CG1966,3R,31799799,31793981,1,ATP-dependent chromatin assembly factor large subunit,"(0.55,0.6]"
achi,0.760525821832111,testis,achi,achi,FBgn0033749,FBgn0033749,CG8819,2R,12515062,12511534,-1,achintya,"(0.75,0.8]"
Achl,0.640522716350246,gut,Achl,Achl,FBgn0033936,FBgn0033936,CG17386,2R,14424764,14420324,1,Achilles,"(0.6,0.65]"
acj6,0.919846681735001,antenna,acj6,acj6,FBgn0000028,FBgn0000028,CG9151,X,15379064,15350239,-1,abnormal chemosensory jump 6,"(0.9,0.95]"
Ack,0.511063563261582,testis,Ack,Ack,FBgn0028484,FBgn0028484,CG14992,3L,4114157,4108186,1,Activated Cdc42 kinase,"(0.5,0.55]"
Ack-like,0.607333045055746,fat.body,Ack-like,Ack-like,FBgn0263998,FBgn0263998,CG43741,2R,13152677,13142834,-1,Activated Cdc42 kinase-like,"(0.6,0.65]"
Acn,0.390626168923696,malpighian.tubule,Acn,Acn,FBgn0263198,FBgn0263198,CG10473,2L,19048817,19045355,1,Acinus,"(0.35,0.4]"
ACOX1,0.672837574180856,fat.body,ACOX1,CG5009,FBgn0027572,FBgn0027572,CG5009,2R,17764541,17760940,1,acyl-CoA oxidase 1,"(0.65,0.7]"
Acox3,0.598384998729627,oenocyte,Acox3,CG9527,FBgn0031813,FBgn0031813,CG9527,2L,6448403,6426724,-1,Acyl-CoA oxidase 3,"(0.55,0.6]"
Acox57D-d,0.740171610023217,fat.body,Acox57D-d,Acox57D-d,FBgn0034629,FBgn0034629,CG9709,2R,21392439,21389405,1,acyl-Coenzyme A oxidase at 57D distal,"(0.7,0.75]"
Acox57D-p,0.695398169927121,malpighian.tubule,Acox57D-p,Acox57D-p,FBgn0034628,FBgn0034628,CG9707,2R,21389276,21386309,1,acyl-Coenzyme A oxidase at 57D proximal,"(0.65,0.7]"
Acp1,0.985148584704526,heart,Acp1,Acp1,FBgn0014454,FBgn0014454,CG7216,2L,7741537,7740562,-1,Adult cuticle protein 1,"(0.95,1]"
Acp24A4,0.995173646738597,male.reproductive.glands,Acp24A4,Acp24A4,FBgn0051779,FBgn0051779,CG31779,2L,3693905,3693184,-1,Accessory gland protein 24A4,"(0.95,1]"
Acp26Aa,0.995077116343112,male.reproductive.glands,Acp26Aa,Acp26Aa,FBgn0002855,FBgn0002855,CG8982,2L,5893896,5892883,-1,Accessory gland protein 26Aa,"(0.95,1]"
Acp26Ab,0.994769901966512,male.reproductive.glands,Acp26Ab,Acp26Ab,FBgn0002856,FBgn0002856,CG9024,2L,5892862,5892298,-1,Accessory gland protein 26Ab,"(0.95,1]"
Acp29AB,0.997160461686385,male.reproductive.glands,Acp29AB,Acp29AB,FBgn0015583,FBgn0015583,CG17797,2L,8393222,8392456,-1,Accessory gland protein 29AB,"(0.95,1]"
Acp32CD,0.995817470042049,male.reproductive.glands,Acp32CD,Acp32CD,FBgn0023415,FBgn0023415,CG4605,2L,11016571,11015620,1,Accessory gland protein 32CD,"(0.95,1]"
Acp33A,0.99069119836375,male.reproductive.glands,Acp33A,Acp33A,FBgn0267327,FBgn0267327,CG6555,2L,11591678,11591339,-1,Accessory gland-specific peptide 33A,"(0.95,1]"
Acp36DE,0.988524275891846,male.reproductive.glands,Acp36DE,Acp36DE,FBgn0011559,FBgn0011559,CG7157,2L,18359028,18356047,-1,Accessory gland protein 36DE,"(0.95,1]"
Acp53C14a,0.988378262686256,male.reproductive.glands,Acp53C14a,Acp53C14a,FBgn0034152,FBgn0034152,CG8626,2R,16748590,16747834,-1,Accessory gland protein 53C14a,"(0.95,1]"
Acp53C14b,0.990028690967172,male.reproductive.glands,Acp53C14b,Acp53C14b,FBgn0034153,FBgn0034153,CG15616,2R,16749460,16748815,-1,Accessory gland protein 53C14b,"(0.95,1]"
Acp53C14c,0.996069121641797,male.reproductive.glands,Acp53C14c,Acp53C14c,FBgn0053530,FBgn0053530,CG33530,2R,16751495,16750776,-1,Accessory gland protein 53C14c,"(0.95,1]"
Acp53Ea,0.990612468778802,male.reproductive.glands,Acp53Ea,Acp53Ea,FBgn0015584,FBgn0015584,CG8622,2R,16750335,16749803,-1,Accessory gland protein 53Ea,"(0.95,1]"
Acp54A1,0.984645228148539,male.reproductive.glands,Acp54A1,Acp54A1,FBgn0083936,FBgn0083936,CG34098,2R,17133750,17133445,1,Accessory gland protein 54A1,"(0.95,1]"
Acp62F,0.99115519204068,male.reproductive.glands,Acp62F,Acp62F,FBgn0020509,FBgn0020509,CG1262,3L,2740228,2739750,1,Accessory gland protein 62F,"(0.95,1]"
Acp63F,0.993400139693053,male.reproductive.glands,Acp63F,Acp63F,FBgn0015585,FBgn0015585,CG10852,3L,3816354,3815839,-1,Accessory gland protein 63F,"(0.95,1]"
Acp65Aa,0.812380550444424,heart,Acp65Aa,Acp65Aa,FBgn0020765,FBgn0020765,CG10297,3L,6152745,6152050,-1,Adult cuticle protein 65Aa,"(0.8,0.85]"
Acp76A,0.997039127653635,male.reproductive.glands,Acp76A,Acp76A,FBgn0015586,FBgn0015586,CG3801,3L,19052026,19050757,-1,Accessory gland protein 76A,"(0.95,1]"
Acp95EF,0.985964103201153,male.reproductive.glands,Acp95EF,Acp95EF,FBgn0002863,FBgn0002863,CG17924,3R,24229279,24228975,1,Accessory gland protein 95EF,"(0.95,1]"
Acp98AB,0.978572652010019,male.reproductive.glands,Acp98AB,Acp98AB,FBgn0263597,FBgn0263597,CG43619,3R,27695057,27694883,1,Accessory gland protein 98AB,"(0.95,1]"
Acph-1,0.684594302738153,ovary,Acph-1,Acph-1,FBgn0000032,FBgn0000032,CG7899,3R,29993411,29991144,-1,Acid phosphatase 1,"(0.65,0.7]"
Acsf2,0.821381224197101,malpighian.tubule,Acsf2,CG12512,FBgn0031703,FBgn0031703,CG12512,2L,5342234,5339132,-1,Acyl-CoA synthetase family member 2,"(0.8,0.85]"
Acsf3,0.959174274605735,testis,Acsf3,CG18155,FBgn0029945,FBgn0029945,CG18155,X,7331255,7329046,1,Acyl-CoA synthetase family member 3,"(0.95,1]"
Acsl,0.537861064662934,fat.body,Acsl,Acsl,FBgn0263120,FBgn0263120,CG8732,2R,8683022,8665813,1,Acyl-CoA synthetase long-chain,"(0.5,0.55]"
Act42A,0.894971579709162,testis,Act42A,Act42A,FBgn0000043,FBgn0000043,CG12051,2R,6015689,6013910,-1,Actin 42A,"(0.85,0.9]"
Act57B,0.726001115323288,oenocyte,Act57B,Act57B,FBgn0000044,FBgn0000044,CG10067,2R,20946431,20944021,1,Actin 57B,"(0.7,0.75]"
Act5C,0.452663564916464,ovary,Act5C,Act5C,FBgn0000042,FBgn0000042,CG4027,X,5905399,5900861,1,Actin 5C,"(0.45,0.5]"
Act79B,0.934824305576438,leg,Act79B,Act79B,FBgn0000045,FBgn0000045,CG7478,3L,21987190,21985210,1,Actin 79B,"(0.9,0.95]"
Act87E,0.81525811454616,leg,Act87E,Act87E,FBgn0000046,FBgn0000046,CG18290,3R,13428375,13425983,1,Actin 87E,"(0.8,0.85]"
Act88F,0.864121457550241,leg,Act88F,Act88F,FBgn0000047,FBgn0000047,CG5178,3R,15442177,15439969,1,Actin 88F,"(0.85,0.9]"
Actbeta,0.797077182326794,wing,Actbeta,Actbeta,FBgn0024913,FBgn0024913,CG11062,4,1084796,1077331,-1,Activin-beta,"(0.75,0.8]"
Actn,0.725218776773726,leg,Actn,Actn,FBgn0000667,FBgn0000667,CG4376,X,2042311,2023822,-1,alpha actinin,"(0.7,0.75]"
Actn3,0.992842450930695,testis,Actn3,Actn3,FBgn0015008,FBgn0015008,CG8953,3R,16977795,16975885,-1,alpha actinin 3,"(0.95,1]"
ACXA,0.994066298932831,testis,ACXA,ACXA,FBgn0040510,FBgn0040510,CG17176,2L,12925453,12921091,1,Adenylyl cyclase X A,"(0.95,1]"
ACXB,0.994265518747929,testis,ACXB,ACXB,FBgn0040509,FBgn0040509,CG17174,2L,12921008,12916814,1,Adenylyl cyclase X B,"(0.95,1]"
ACXC,0.982493588431266,testis,ACXC,ACXC,FBgn0040508,FBgn0040508,CG5983,2L,12916774,12912530,1,Adenylyl cyclase X C,"(0.95,1]"
ACXD,0.903135790510293,gut,ACXD,ACXD,FBgn0040507,FBgn0040507,CG5712,3L,2243719,2237608,1,Adenylyl cyclase X D,"(0.9,0.95]"
ACXE,0.998034669935961,testis,ACXE,ACXE,FBgn0040506,FBgn0040506,CG17178,2L,12929823,12925611,1,Adenylyl cyclase X E,"(0.95,1]"
Acyp,0.994837801819048,testis,Acyp,Acyp,FBgn0025115,FBgn0025115,CG16870,2L,13912652,13912083,1,Acylphosphatase,"(0.95,1]"
Acyp2,0.907728722851681,testis,Acyp2,Acyp2,FBgn0038363,FBgn0038363,CG18505,3R,15793487,15792688,1,Acylphosphatase 2,"(0.9,0.95]"
Ada,0.89335031906957,testis,Ada,Ada,FBgn0037661,FBgn0037661,CG11994,3R,9066303,9065183,1,Adenosine deaminase,"(0.85,0.9]"
Ada1-1,0.496341181858599,trachea,Ada1-1,Ada1-1,FBgn0051865,FBgn0051865,CG31865,2L,11997965,11996809,1,transcriptional Adaptor 1-1,"(0.45,0.5]"
Ada1-2,0.710498521356125,trachea,Ada1-2,Ada1-2,FBgn0051866,FBgn0051866,CG31866,2L,11994054,11992902,1,transcriptional Adaptor 1-2,"(0.7,0.75]"
Ada2a,0.637484457783695,malpighian.tubule,Ada2a,Ada2a,FBgn0263738,FBgn0263738,CG43663,3R,18255487,18252843,-1,transcriptional Adaptor 2a,"(0.6,0.65]"
Ada2b,0.64885705625687,trachea,Ada2b,Ada2b,FBgn0037555,FBgn0037555,CG9638,3R,8240515,8236632,-1,transcriptional Adaptor 2b,"(0.6,0.65]"
Ada3,0.695883697529029,trachea,Ada3,Ada3,FBgn0030891,FBgn0030891,CG7098,X,18088418,18085761,1,transcriptional Adaptor 3,"(0.65,0.7]"
AdamTS-A,0.595891045246675,fat.body,AdamTS-A,AdamTS-A,FBgn0286071,FBgn0286071,CG14869,3R,15476193,15442246,-1,ADAM metallopeptidase with thrombospondin type 1 motif A,"(0.55,0.6]"
AdamTS-B,0.788913992977262,malpighian.tubule,AdamTS-B,AdamTS-B,FBgn0029791,FBgn0029791,CG4096,X,5708633,5698557,1,ADAM metallopeptidase with thrombospondin type 1 motif B,"(0.75,0.8]"
Adar,0.461842135327832,wing,Adar,Adar,FBgn0026086,FBgn0026086,CG12598,X,1788065,1773725,1,Adenosine deaminase acting on RNA,"(0.45,0.5]"
Adat1,0.69378696794544,malpighian.tubule,Adat1,Adat1,FBgn0028658,FBgn0028658,CG16889,2L,13811474,13808360,-1,"Adenosine deaminase, tRNA-specific 1","(0.65,0.7]"
Adck1,0.962812085203112,male.reproductive.glands,Adck1,Adck1,FBgn0035039,FBgn0035039,CG3608,2R,24613906,24611703,1,aarF domain containing kinase 1,"(0.95,1]"
Adck5,0.840058043096375,testis,Adck5,Adck5,FBgn0036142,FBgn0036142,CG7616,3L,11172411,11169817,1,aarF domain containing kinase 5,"(0.8,0.85]"
ADD1,0.527390385312566,fat.body,ADD1,ADD1,FBgn0026573,FBgn0026573,CG8290,2R,11977721,11970686,1,ADD domain-containing protein 1,"(0.5,0.55]"
Adf1,0.57098636976975,trachea,Adf1,Adf1,FBgn0284249,FBgn0284249,CG15845,2R,6668085,6662265,1,Adh transcription factor 1,"(0.55,0.6]"
Adgf-A,0.765189238505292,gut,Adgf-A,Adgf-A,FBgn0036752,FBgn0036752,CG5992,3L,17764158,17751731,-1,Adenosine deaminase-related growth factor A,"(0.75,0.8]"
Adgf-A2,0.977276961636181,testis,Adgf-A2,Adgf-A2,FBgn0043025,FBgn0043025,CG32178,3L,17764158,17754936,-1,Adenosine deaminase-related growth factor A2,"(0.95,1]"
Adgf-B,0.994889595974,testis,Adgf-B,Adgf-B,FBgn0036751,FBgn0036751,CG5998,3L,17750588,17748833,-1,Adenosine deaminase-related growth factor B,"(0.95,1]"
Adgf-C,0.882469890088567,male.reproductive.glands,Adgf-C,Adgf-C,FBgn0038173,FBgn0038173,CG9345,3R,13709129,13706757,1,Adenosine deaminase-related growth factor C,"(0.85,0.9]"
Adgf-D,0.845633549278767,fat.body,Adgf-D,Adgf-D,FBgn0038172,FBgn0038172,CG9621,3R,13705402,13703084,-1,Adenosine deaminase-related growth factor D,"(0.8,0.85]"
Adgf-E,0.996356214807968,testis,Adgf-E,Adgf-E,FBgn0033952,FBgn0033952,CG10143,2R,14658755,14656798,-1,Adenosine deaminase-related growth factor E,"(0.95,1]"
Adh,0.697642319972868,malpighian.tubule,Adh,Adh,FBgn0000055,FBgn0000055,CG3481,2L,14618902,14615552,1,Alcohol dehydrogenase,"(0.65,0.7]"
Adi1,0.714687598339684,malpighian.tubule,Adi1,Adi1,FBgn0052068,FBgn0052068,CG32068,3L,10664435,10663376,1,Acireductone dioxygenase 1,"(0.7,0.75]"
AdipoR,0.646141603738323,fat.body,AdipoR,AdipoR,FBgn0038984,FBgn0038984,CG5315,3R,22547846,22543693,-1,Adiponectin receptor,"(0.6,0.65]"
Adk1,0.616865809555944,antenna,Adk1,Adk1,FBgn0037995,FBgn0037995,CG3809,3R,12199473,12197941,1,Adenosine kinase 1,"(0.6,0.65]"
Adk2,0.594627523554206,ovary,Adk2,Adk2,FBgn0036337,FBgn0036337,CG11255,3L,13022688,13019715,-1,Adenosine kinase 2,"(0.55,0.6]"
Adk3,0.926288339912714,testis,Adk3,Adk3,FBgn0026602,FBgn0026602,CG1851,2R,7245776,7243024,-1,Adenosine kinase 3,"(0.9,0.95]"
AdoR,0.725438166868478,heart,AdoR,AdoR,FBgn0039747,FBgn0039747,CG9753,3R,30149606,30134856,-1,Adenosine receptor,"(0.7,0.75]"
