ensembl_id,gene_age,gene_Interval
FBgn0037215,1488,1480-1496
FBgn0250746,>4290,>4290
FBgn0026086,987,952-1023
FBgn0265048,950,948-952
FBgn0034083,317,310-325
FBgn0004373,>4290,>4290
FBgn0038769,950,948-952
FBgn0036340,950,948-952
FBgn0039877,1488,1480-1496
FBgn0040823,505,480-530
FBgn0260995,556,530-583
FBgn0038282,556,530-583
FBgn0036099,556,530-583
FBgn0035704,1488,1480-1496
FBgn0016920,1488,1480-1496
FBgn0033088,1488,1480-1496
FBgn0042098,775,753-797
FBgn0036427,775,753-797
FBgn0034661,775,753-797
FBgn0039272,43,37-50
FBgn0031619,775,753-797
FBgn0034666,775,753-797
FBgn0005632,>4290,>4290
FBgn0040345,22,11-34
FBgn0015268,202,132-272
FBgn0267366,291,272-310
FBgn0011676,987,952-1023
FBgn0051116,1488,1480-1496
FBgn0260222,1488,1480-1496
FBgn0047038,1488,1480-1496
FBgn0031077,1488,1480-1496
FBgn0086909,1488,1480-1496
FBgn0035608,1064,1023-1105
FBgn0035571,1064,1023-1105
FBgn0028969,1064,1023-1105
FBgn0029897,1064,1023-1105
FBgn0023542,1064,1023-1105
FBgn0033451,1488,1480-1496
FBgn0033769,1488,1480-1496
FBgn0030089,>4290,>4290
FBgn0035240,91,50-132
FBgn0010352,1488,1480-1496
FBgn0267698,1488,1480-1496
FBgn0014930,1488,1480-1496
FBgn0053138,1488,1480-1496
FBgn0032475,886,824-948
FBgn0052476,91,50-132
FBgn0039818,202,132-272
FBgn0030466,91,50-132
FBgn0033932,91,50-132
FBgn0035131,950,948-952
FBgn0052475,950,948-952
FBgn0030766,950,948-952
FBgn0030437,1064,1023-1105
FBgn0037960,1064,1023-1105
FBgn0085437,1064,1023-1105
FBgn0003464,1488,1480-1496
FBgn0261065,>4290,>4290
FBgn0004838,>4290,>4290
FBgn0015019,>4290,>4290
FBgn0036911,>4290,>4290
FBgn0026402,987,952-1023
FBgn0010750,1064,1023-1105
FBgn0015803,987,952-1023
FBgn0039669,1714,1660-1768
FBgn0030718,1714,1660-1768
FBgn0031868,>4290,>4290
FBgn0036254,>4290,>4290
FBgn0031814,950,948-952
FBgn0262955,>4290,>4290
FBgn0283500,1488,1480-1496
FBgn0250753,1488,1480-1496
FBgn0030504,1488,1480-1496
FBgn0032051,1488,1480-1496
FBgn0040367,1488,1480-1496
FBgn0040357,1488,1480-1496
FBgn0029568,1488,1480-1496
FBgn0040358,1488,1480-1496
FBgn0040360,1488,1480-1496
FBgn0040361,1488,1480-1496
FBgn0040364,419,358-480
FBgn0038708,91,50-132
FBgn0040398,419,358-480
FBgn0053082,419,358-480
FBgn0040350,419,358-480
FBgn0031023,419,358-480
FBgn0031042,91,50-132
FBgn0031045,91,50-132
FBgn0030266,91,50-132
FBgn0030763,91,50-132
FBgn0030593,202,132-272
FBgn0030594,202,132-272
FBgn0030595,202,132-272
FBgn0052591,202,132-272
FBgn0038266,202,132-272
FBgn0040385,202,132-272
FBgn0030320,202,132-272
FBgn0025838,202,132-272
FBgn0027259,202,132-272
FBgn0003575,202,132-272
FBgn0001341,202,132-272
FBgn0031219,202,132-272
FBgn0025620,202,132-272
FBgn0030787,202,132-272
FBgn0052574,202,132-272
FBgn0052569,91,50-132
FBgn0052570,91,50-132
FBgn0052571,91,50-132
FBgn0052572,91,50-132
FBgn0085354,317,310-325
FBgn0030780,317,310-325
FBgn0029867,202,132-272
FBgn0029866,202,132-272
FBgn0052594,202,132-272
FBgn0040106,43,37-50
FBgn0031373,43,37-50
FBgn0040104,43,37-50
FBgn0015583,43,37-50
FBgn0040097,43,37-50
FBgn0031273,43,37-50
FBgn0040098,43,37-50
FBgn0040107,43,37-50
FBgn0040102,202,132-272
FBgn0031910,202,132-272
FBgn0030189,419,358-480
FBgn0011280,202,132-272
FBgn0031111,202,132-272
FBgn0031110,202,132-272
FBgn0040651,202,132-272
FBgn0030103,43,37-50
FBgn0030105,202,132-272
FBgn0030102,202,132-272
FBgn0029726,202,132-272
FBgn0029730,202,132-272
FBgn0052573,91,50-132
FBgn0051609,91,50-132
FBgn0029659,91,50-132
FBgn0030137,91,50-132
FBgn0054028,202,132-272
FBgn0034904,202,132-272
FBgn0030794,202,132-272
FBgn0010303,202,132-272
FBgn0030675,202,132-272
FBgn0030666,202,132-272
FBgn0030665,202,132-272
FBgn0029770,91,50-132
FBgn0000719,91,50-132
FBgn0052762,43,37-50
FBgn0029769,419,358-480
FBgn0029766,419,358-480
FBgn0029765,341,325-358
FBgn0029716,341,325-358
FBgn0052712,341,325-358
FBgn0052521,341,325-358
FBgn0039897,341,325-358
FBgn0034942,341,325-358
FBgn0032965,91,50-132
FBgn0058439,291,272-310
FBgn0024943,91,50-132
FBgn0030807,91,50-132
FBgn0030804,91,50-132
FBgn0030803,291,272-310
FBgn0030797,291,272-310
FBgn0032111,202,132-272
FBgn0032193,202,132-272
FBgn0039482,317,310-325
FBgn0039483,317,310-325
FBgn0039923,317,310-325
FBgn0030440,317,310-325
FBgn0039329,202,132-272
FBgn0030716,202,132-272
FBgn0040942,202,132-272
FBgn0084001,202,132-272
FBgn0033195,202,132-272
FBgn0035519,1488,1480-1496
FBgn0024811,1488,1480-1496
FBgn0040298,>4290,>4290
FBgn0034814,>4290,>4290
FBgn0033699,>4290,>4290
FBgn0035703,>4290,>4290
FBgn0003189,>4290,>4290
FBgn0051139,987,952-1023
FBgn0086253,987,952-1023
FBgn0030687,>4290,>4290
FBgn0032420,>4290,>4290
FBgn0031260,>4290,>4290
FBgn0035909,987,952-1023
FBgn0036222,419,358-480
FBgn0086779,>4290,>4290
FBgn0032388,>4290,>4290
FBgn0036662,>4290,>4290
FBgn0031604,>4290,>4290
FBgn0030674,202,132-272
FBgn0031673,987,952-1023
FBgn0001216,202,132-272
FBgn0266599,>4290,>4290
FBgn0035677,>4290,>4290
FBgn0035588,1488,1480-1496
FBgn0038247,810,797-824
FBgn0030789,1714,1660-1768
FBgn0038834,1714,1660-1768
FBgn0004623,556,530-583
FBgn0000382,987,952-1023
FBgn0000114,987,952-1023
FBgn0262475,987,952-1023
FBgn0035901,987,952-1023
FBgn0004648,987,952-1023
FBgn0029756,987,952-1023
FBgn0038279,987,952-1023
FBgn0039631,950,948-952
FBgn0023531,950,948-952
FBgn0036446,950,948-952
FBgn0014020,1488,1480-1496
FBgn0038271,987,952-1023
FBgn0270925,1488,1480-1496
FBgn0027082,1488,1480-1496
FBgn0053094,1488,1480-1496
FBgn0032447,987,952-1023
FBgn0037021,987,952-1023
FBgn0038397,775,753-797
FBgn0037780,775,753-797
FBgn0034585,775,753-797
FBgn0033741,>4290,>4290
FBgn0259985,886,824-948
FBgn0052495,>4290,>4290
FBgn0030882,>4290,>4290
FBgn0000996,>4290,>4290
FBgn0035026,>4290,>4290
FBgn0032717,>4290,>4290
FBgn0041171,1488,1480-1496
FBgn0030584,>4290,>4290
FBgn0003218,1064,1023-1105
FBgn0266669,1064,1023-1105
FBgn0033911,886,824-948
FBgn0003483,1292,1105-1480
FBgn0003071,1292,1105-1480
FBgn0034304,1488,1480-1496
FBgn0030081,1488,1480-1496
FBgn0038170,1488,1480-1496
FBgn0024555,1488,1480-1496
FBgn0038829,950,948-952
FBgn0036568,202,132-272
FBgn0033166,202,132-272
FBgn0023416,886,824-948
FBgn0030330,987,952-1023
FBgn0035252,419,358-480
FBgn0034258,419,358-480
FBgn0039857,419,358-480
FBgn0013343,1488,1480-1496
FBgn0039969,1488,1480-1496
FBgn0022786,1488,1480-1496
FBgn0011754,1488,1480-1496
FBgn0030976,886,824-948
FBgn0032052,886,824-948
FBgn0259986,886,824-948
FBgn0027611,1064,1023-1105
FBgn0032067,1064,1023-1105
FBgn0032253,1064,1023-1105
FBgn0032069,1064,1023-1105
FBgn0032066,1064,1023-1105
FBgn0032068,1064,1023-1105
FBgn0260462,1488,1480-1496
FBgn0003068,1488,1480-1496
FBgn0037473,987,952-1023
FBgn0036187,>4290,>4290
FBgn0010488,987,952-1023
FBgn0032859,987,952-1023
FBgn0032484,91,50-132
FBgn0033250,748,743-753
FBgn0003415,748,743-753
FBgn0033246,950,948-952
FBgn0038571,950,948-952
FBgn0032881,1292,1105-1480
FBgn0051183,950,948-952
FBgn0039013,556,530-583
FBgn0041156,556,530-583
FBgn0051323,556,530-583
FBgn0033528,1488,1480-1496
FBgn0034735,1488,1480-1496
FBgn0027565,1488,1480-1496
FBgn0035154,1488,1480-1496
FBgn0051821,91,50-132
FBgn0051823,1488,1480-1496
FBgn0052483,1488,1480-1496
FBgn0034494,886,824-948
FBgn0052669,886,824-948
FBgn0033816,886,824-948
FBgn0050043,987,952-1023
FBgn0034436,987,952-1023
FBgn0050049,987,952-1023
FBgn0034441,987,952-1023
FBgn0034438,987,952-1023
FBgn0033720,987,952-1023
FBgn0034440,987,952-1023
FBgn0034437,987,952-1023
FBgn0050047,987,952-1023
FBgn0053012,987,952-1023
FBgn0034439,987,952-1023
FBgn0037153,987,952-1023
FBgn0000233,291,272-310
FBgn0010424,987,952-1023
FBgn0010423,43,37-50
FBgn0051213,1064,1023-1105
FBgn0000032,1714,1660-1768
FBgn0032707,775,753-797
FBgn0038735,1064,1023-1105
FBgn0032101,1064,1023-1105
FBgn0035285,1064,1023-1105
FBgn0004103,950,948-952
FBgn0003132,950,948-952
FBgn0025807,950,948-952
FBgn0026059,987,952-1023
FBgn0015239,810,797-824
FBgn0033257,987,952-1023
FBgn0031089,556,530-583
FBgn0029962,950,948-952
FBgn0034484,950,948-952
FBgn0040805,556,530-583
FBgn0051721,1488,1480-1496
FBgn0035649,886,824-948
FBgn0030890,886,824-948
FBgn0263109,592,583-601
FBgn0043005,810,797-824
FBgn0032042,810,797-824
FBgn0030616,775,753-797
FBgn0034822,35,34-37
FBgn0003390,748,743-753
FBgn0015351,748,743-753
FBgn0026317,748,743-753
FBgn0038281,35,34-37
FBgn0013749,987,952-1023
FBgn0040973,748,743-753
FBgn0026879,748,743-753
FBgn0011725,987,952-1023
FBgn0039265,810,797-824
FBgn0035687,950,948-952
FBgn0267977,950,948-952
FBgn0034182,950,948-952
FBgn0038869,950,948-952
FBgn0286203,505,480-530
FBgn0265274,775,753-797
FBgn0032876,775,753-797
FBgn0034098,317,310-325
FBgn0027616,886,824-948
FBgn0040666,886,824-948
FBgn0027583,91,50-132
FBgn0038584,91,50-132
FBgn0260407,91,50-132
FBgn0028473,>4290,>4290
FBgn0015544,91,50-132
FBgn0260386,505,480-530
FBgn0031799,987,952-1023
FBgn0034957,987,952-1023
FBgn0050338,987,952-1023
FBgn0036214,987,952-1023
FBgn0039078,987,952-1023
FBgn0033010,886,824-948
FBgn0000061,3,0-6
FBgn0029121,3,0-6
FBgn0036323,592,583-601
FBgn0036831,592,583-601
FBgn0036321,592,583-601
FBgn0036833,592,583-601
FBgn0038570,592,583-601
FBgn0038376,1488,1480-1496
FBgn0026403,556,530-583
FBgn0052280,556,530-583
FBgn0052369,556,530-583
FBgn0031573,775,753-797
FBgn0263490,202,132-272
FBgn0035702,291,272-310
FBgn0035934,987,952-1023
FBgn0031495,>4290,>4290
FBgn0053198,>4290,>4290
FBgn0063261,202,132-272
FBgn0038465,291,272-310
FBgn0038472,91,50-132
FBgn0037836,91,50-132
FBgn0261356,91,50-132
FBgn0260229,91,50-132
FBgn0039266,91,50-132
FBgn0039202,91,50-132
FBgn0039199,91,50-132
FBgn0039197,202,132-272
FBgn0039194,91,50-132
FBgn0053341,91,50-132
FBgn0053340,202,132-272
FBgn0039186,202,132-272
FBgn0040606,202,132-272
FBgn0264472,202,132-272
FBgn0083966,91,50-132
FBgn0051086,672,601-743
FBgn0051324,672,601-743
FBgn0061196,91,50-132
FBgn0039413,91,50-132
FBgn0002632,91,50-132
FBgn0002629,202,132-272
FBgn0002592,202,132-272
FBgn0002578,202,132-272
FBgn0002732,91,50-132
FBgn0039398,91,50-132
FBgn0039395,91,50-132
FBgn0052719,91,50-132
FBgn0038589,91,50-132
FBgn0038859,91,50-132
FBgn0000166,202,132-272
FBgn0052440,202,132-272
FBgn0024912,202,132-272
FBgn0037456,202,132-272
FBgn0037455,202,132-272
FBgn0037454,202,132-272
FBgn0027514,202,132-272
FBgn0085454,202,132-272
FBgn0052945,202,132-272
FBgn0037261,202,132-272
FBgn0085305,202,132-272
FBgn0038386,202,132-272
FBgn0038388,202,132-272
FBgn0052856,202,132-272
FBgn0038548,91,50-132
FBgn0042205,91,50-132
FBgn0051360,91,50-132
FBgn0038291,91,50-132
FBgn0038292,91,50-132
FBgn0054026,202,132-272
FBgn0050413,91,50-132
FBgn0039346,91,50-132
FBgn0051547,886,824-948
FBgn0040466,886,824-948
FBgn0037320,886,824-948
FBgn0037317,886,824-948
FBgn0037304,886,824-948
FBgn0037294,886,824-948
FBgn0010313,886,824-948
FBgn0037291,886,824-948
FBgn0020280,886,824-948
FBgn0037283,886,824-948
FBgn0037282,886,824-948
FBgn0036395,886,824-948
FBgn0014022,886,824-948
FBgn0037700,886,824-948
FBgn0038425,886,824-948
FBgn0051279,886,824-948
FBgn0038423,886,824-948
FBgn0259917,886,824-948
FBgn0038421,886,824-948
FBgn0038419,886,824-948
FBgn0020399,886,824-948
FBgn0037976,886,824-948
FBgn0051358,202,132-272
FBgn0037986,202,132-272
FBgn0037985,91,50-132
FBgn0037987,91,50-132
FBgn0038001,419,358-480
FBgn0038002,419,358-480
FBgn0038003,419,358-480
FBgn0011270,91,50-132
FBgn0038009,91,50-132
FBgn0038012,91,50-132
FBgn0003015,91,50-132
FBgn0040532,91,50-132
FBgn0037589,91,50-132
FBgn0040531,91,50-132
FBgn0040602,91,50-132
FBgn0039374,91,50-132
FBgn0039356,91,50-132
FBgn0027508,91,50-132
FBgn0031483,91,50-132
FBgn0039350,91,50-132
FBgn0038530,202,132-272
FBgn0038529,202,132-272
FBgn0038528,202,132-272
FBgn0038526,202,132-272
FBgn0038525,202,132-272
FBgn0051661,91,50-132
FBgn0038505,91,50-132
FBgn0051926,91,50-132
FBgn0051928,91,50-132
FBgn0011822,91,50-132
FBgn0038507,91,50-132
FBgn0037697,1714,1660-1768
FBgn0037696,1714,1660-1768
FBgn0086368,1292,1105-1480
FBgn0032208,1488,1480-1496
FBgn0052412,1488,1480-1496
FBgn0036154,43,37-50
FBgn0052413,1488,1480-1496
FBgn0036999,1488,1480-1496
FBgn0023510,>4290,>4290
FBgn0085451,>4290,>4290
FBgn0034691,1488,1480-1496
FBgn0264562,1488,1480-1496
FBgn0041092,1488,1480-1496
FBgn0003392,1488,1480-1496
FBgn0020887,1488,1480-1496
FBgn0038053,1488,1480-1496
FBgn0011824,1488,1480-1496
FBgn0027539,1488,1480-1496
FBgn0031106,1714,1660-1768
FBgn0264978,>4290,>4290
FBgn0001296,950,948-952
FBgn0039937,886,824-948
FBgn0031169,43,37-50
FBgn0027610,1064,1023-1105
FBgn0037880,1064,1023-1105
FBgn0034708,1064,1023-1105
FBgn0004875,1064,1023-1105
FBgn0031662,1714,1660-1768
FBgn0028979,672,601-743
FBgn0003866,672,601-743
FBgn0036510,987,952-1023
FBgn0263933,987,952-1023
FBgn0260049,987,952-1023
FBgn0002917,987,952-1023
FBgn0261931,91,50-132
FBgn0033494,886,824-948
FBgn0261988,987,952-1023
FBgn0039489,987,952-1023
FBgn0004842,91,50-132
FBgn0004363,1488,1480-1496
FBgn0260454,91,50-132
FBgn0069354,1488,1480-1496
FBgn0260453,91,50-132
FBgn0036381,987,952-1023
FBgn0035923,987,952-1023
FBgn0032791,950,948-952
FBgn0032787,950,948-952
FBgn0032790,950,948-952
FBgn0038976,950,948-952
FBgn0038861,>4290,>4290
FBgn0038471,>4290,>4290
FBgn0042083,1064,1023-1105
FBgn0020312,886,824-948
FBgn0005677,886,824-948
FBgn0003429,987,952-1023
FBgn0000229,1488,1480-1496
FBgn0001325,748,743-753
FBgn0028699,748,743-753
FBgn0004865,775,753-797
FBgn0030052,775,753-797
FBgn0051635,1064,1023-1105
FBgn0011785,1064,1023-1105
FBgn0037709,1714,1660-1768
FBgn0011740,1064,1023-1105
FBgn0029685,1064,1023-1105
FBgn0035558,775,753-797
FBgn0036988,775,753-797
FBgn0037551,775,753-797
FBgn0039159,775,753-797
FBgn0035379,672,601-743
FBgn0026309,987,952-1023
FBgn0035248,419,358-480
FBgn0024248,419,358-480
FBgn0064119,1292,1105-1480
FBgn0260466,1292,1105-1480
FBgn0036816,1292,1105-1480
FBgn0015721,987,952-1023
FBgn0036913,1488,1480-1496
FBgn0039004,1488,1480-1496
FBgn0003435,1714,1660-1768
FBgn0026238,950,948-952
FBgn0003090,987,952-1023
FBgn0263934,987,952-1023
FBgn0038140,950,948-952
FBgn0038139,950,948-952
FBgn0038201,950,948-952
FBgn0033413,1488,1480-1496
FBgn0032509,1714,1660-1768
FBgn0039277,987,952-1023
FBgn0035543,672,601-743
FBgn0025630,1488,1480-1496
FBgn0259984,987,952-1023
FBgn0033464,419,358-480
FBgn0043792,419,358-480
FBgn0034931,419,358-480
FBgn0032295,950,948-952
FBgn0032036,1064,1023-1105
FBgn0030707,886,824-948
FBgn0001222,886,824-948
FBgn0278608,810,797-824
FBgn0030406,810,797-824
FBgn0038552,810,797-824
FBgn0028950,291,272-310
FBgn0032683,291,272-310
FBgn0026869,291,272-310
FBgn0259937,291,272-310
FBgn0261261,1488,1480-1496
FBgn0086683,1488,1480-1496
FBgn0003731,775,753-797
FBgn0037534,810,797-824
FBgn0051523,775,753-797
FBgn0051522,775,753-797
FBgn0039459,775,753-797
FBgn0039850,1488,1480-1496
FBgn0035044,1488,1480-1496
FBgn0028687,>4290,>4290
FBgn0022213,1714,1660-1768
FBgn0037218,1714,1660-1768
FBgn0051342,672,601-743
FBgn0035592,672,601-743
FBgn0040309,987,952-1023
FBgn0015524,950,948-952
FBgn0026401,950,948-952
FBgn0020510,950,948-952
FBgn0259749,>4290,>4290
FBgn0046692,22,11-34
FBgn0003174,22,11-34
FBgn0261555,810,797-824
FBgn0031771,1714,1660-1768
FBgn0034007,291,272-310
FBgn0034251,91,50-132
FBgn0259729,1714,1660-1768
FBgn0033179,1714,1660-1768
FBgn0029857,1714,1660-1768
FBgn0036207,1714,1660-1768
FBgn0020445,886,824-948
FBgn0031678,35,34-37
FBgn0038818,886,824-948
FBgn0040765,91,50-132
FBgn0016797,886,824-948
FBgn0029771,748,743-753
FBgn0035318,987,952-1023
FBgn0035987,987,952-1023
FBgn0025879,987,952-1023
FBgn0025726,987,952-1023
FBgn0263237,1714,1660-1768
FBgn0024285,1714,1660-1768
FBgn0038504,1488,1480-1496
FBgn0029778,1488,1480-1496
FBgn0083976,775,753-797
FBgn0030321,1292,1105-1480
FBgn0025621,1292,1105-1480
FBgn0031769,950,948-952
FBgn0035871,1064,1023-1105
FBgn0026439,950,948-952
FBgn0032922,950,948-952
FBgn0003117,775,753-797
FBgn0034109,1488,1480-1496
FBgn0053196,748,743-753
FBgn0037315,886,824-948
FBgn0035293,886,824-948
FBgn0082582,886,824-948
FBgn0001970,886,824-948
FBgn0037443,886,824-948
FBgn0038516,>4290,>4290
FBgn0038806,>4290,>4290
FBgn0032783,886,824-948
FBgn0004514,775,753-797
FBgn0026411,987,952-1023
FBgn0032196,987,952-1023
FBgn0036274,886,824-948
FBgn0259243,987,952-1023
FBgn0034907,1292,1105-1480
FBgn0005777,>4290,>4290
FBgn0027592,>4290,>4290
FBgn0052850,987,952-1023
FBgn0013750,1292,1105-1480
FBgn0027558,748,743-753
FBgn0031681,775,753-797
FBgn0030699,775,753-797
FBgn0266347,810,797-824
FBgn0015519,810,797-824
FBgn0016696,1934,1768-2101
FBgn0041210,1488,1480-1496
FBgn0037504,1488,1480-1496
FBgn0046114,1488,1480-1496
FBgn0031485,1488,1480-1496
FBgn0036746,1488,1480-1496
FBgn0040273,1488,1480-1496
FBgn0266580,1488,1480-1496
FBgn0037488,672,601-743
FBgn0038578,672,601-743
FBgn0261599,672,601-743
FBgn0259712,950,948-952
FBgn0034324,202,132-272
FBgn0032442,202,132-272
FBgn0032636,202,132-272
FBgn0053928,43,37-50
FBgn0032681,43,37-50
FBgn0032682,43,37-50
FBgn0262359,43,37-50
FBgn0032004,43,37-50
FBgn0031420,43,37-50
FBgn0036212,43,37-50
FBgn0028570,91,50-132
FBgn0031398,91,50-132
FBgn0085203,91,50-132
FBgn0085201,202,132-272
FBgn0031393,202,132-272
FBgn0262721,91,50-132
FBgn0000636,91,50-132
FBgn0040992,91,50-132
FBgn0260228,91,50-132
FBgn0259201,91,50-132
FBgn0040993,91,50-132
FBgn0021800,91,50-132
FBgn0051777,91,50-132
FBgn0051778,91,50-132
FBgn0031564,91,50-132
FBgn0031563,91,50-132
FBgn0031562,91,50-132
FBgn0031561,91,50-132
FBgn0031558,91,50-132
FBgn0031559,91,50-132
FBgn0085369,91,50-132
FBgn0031554,91,50-132
FBgn0024244,419,358-480
FBgn0031549,419,358-480
FBgn0031546,419,358-480
FBgn0051954,91,50-132
FBgn0031542,91,50-132
FBgn0045038,91,50-132
FBgn0031955,>4290,>4290
FBgn0031954,91,50-132
FBgn0031646,91,50-132
FBgn0031638,91,50-132
FBgn0031288,91,50-132
FBgn0043841,91,50-132
FBgn0032422,91,50-132
FBgn0085204,91,50-132
FBgn0031347,91,50-132
FBgn0036868,91,50-132
FBgn0032260,91,50-132
FBgn0032330,91,50-132
FBgn0023415,91,50-132
FBgn0032331,91,50-132
FBgn0032335,91,50-132
FBgn0032336,91,50-132
FBgn0032337,91,50-132
FBgn0032345,91,50-132
FBgn0010197,91,50-132
FBgn0051867,91,50-132
FBgn0014076,91,50-132
FBgn0032354,91,50-132
FBgn0031698,91,50-132
FBgn0031702,91,50-132
FBgn0031501,91,50-132
FBgn0036708,202,132-272
FBgn0031493,202,132-272
FBgn0032390,202,132-272
FBgn0085192,202,132-272
FBgn0035299,202,132-272
FBgn0032900,202,132-272
FBgn0051675,202,132-272
FBgn0032896,91,50-132
FBgn0032895,291,272-310
FBgn0032894,291,272-310
FBgn0051676,291,272-310
FBgn0053322,91,50-132
FBgn0032886,91,50-132
FBgn0032878,91,50-132
FBgn0032877,91,50-132
FBgn0054007,91,50-132
FBgn0031974,291,272-310
FBgn0054010,291,272-310
FBgn0031976,419,358-480
FBgn0032022,419,358-480
FBgn0032023,419,358-480
FBgn0032024,419,358-480
FBgn0028899,419,358-480
FBgn0087041,419,358-480
FBgn0028506,419,358-480
FBgn0028523,43,37-50
FBgn0032587,43,37-50
FBgn0032588,91,50-132
FBgn0051815,91,50-132
FBgn0032590,91,50-132
FBgn0001185,91,50-132
FBgn0032452,91,50-132
FBgn0031364,91,50-132
FBgn0041249,43,37-50
FBgn0045500,43,37-50
FBgn0031367,43,37-50
FBgn0051665,202,132-272
FBgn0035152,202,132-272
FBgn0035151,202,132-272
FBgn0263042,202,132-272
FBgn0036668,202,132-272
FBgn0052161,202,132-272
FBgn0052170,202,132-272
FBgn0036676,202,132-272
FBgn0036677,202,132-272
FBgn0036678,202,132-272
FBgn0036679,202,132-272
FBgn0035718,317,310-325
FBgn0041232,317,310-325
FBgn0035708,317,310-325
FBgn0052267,317,310-325
FBgn0001254,317,310-325
FBgn0035186,317,310-325
FBgn0026263,317,310-325
FBgn0037142,317,310-325
FBgn0037147,202,132-272
FBgn0037149,202,132-272
FBgn0036365,202,132-272
FBgn0036364,202,132-272
FBgn0036363,91,50-132
FBgn0036362,202,132-272
FBgn0036361,91,50-132
FBgn0036360,91,50-132
FBgn0053263,91,50-132
FBgn0030664,91,50-132
FBgn0036373,91,50-132
FBgn0036826,91,50-132
FBgn0036835,91,50-132
FBgn0085285,91,50-132
FBgn0002945,419,358-480
FBgn0036860,419,358-480
FBgn0036861,419,358-480
FBgn0036862,419,358-480
FBgn0036490,91,50-132
FBgn0036870,202,132-272
FBgn0052214,202,132-272
FBgn0052208,202,132-272
FBgn0052213,202,132-272
FBgn0036873,202,132-272
FBgn0036871,202,132-272
FBgn0036879,419,358-480
