ensembl_gene_id,rnorvegicus_homolog_ensembl_gene,rnorvegicus_homolog_dn,rnorvegicus_homolog_ds,rnorvegicus_homolog_orthology_type,rnorvegicus_homolog_orthology_confidence
ENSMUSG00000079008,ENSRNOG00000036747,0.1898,0.5271,ortholog_one2many,0
ENSMUSG00000030345,ENSRNOG00000053178,0.0941,0.2289,ortholog_one2one,1
ENSMUSG00000063576,ENSRNOG00000017495,0.0024,0.1975,ortholog_one2one,1
ENSMUSG00000033854,ENSRNOG00000003813,0.0204,0.194,ortholog_one2one,1
ENSMUSG00000066652,ENSRNOG00000060325,0.04,0.2143,ortholog_one2one,1
ENSMUSG00000079563,ENSRNOG00000042318,0.0897,0.2146,ortholog_one2one,0
ENSMUSG00000059900,ENSRNOG00000010430,0.0557,0.2926,ortholog_one2one,1
ENSMUSG00000029423,ENSRNOG00000000934,0,0,ortholog_one2one,1
ENSMUSG00000073489,ENSRNOG00000003486,0.2839,0.3351,ortholog_one2many,0
ENSMUSG00000028558,ENSRNOG00000037710,0.0476,0.2799,ortholog_one2one,1
ENSMUSG00000052712,ENSRNOG00000000524,0.0233,0.1392,ortholog_one2one,1
ENSMUSG00000071203,ENSRNOG00000033693,0.1162,0.2211,ortholog_one2many,0
ENSMUSG00000022770,ENSRNOG00000038597,0.019,0.2692,ortholog_one2one,1
ENSMUSG00000028675,ENSRNOG00000009248,0.0279,0.1162,ortholog_one2one,1
ENSMUSG00000063364,ENSRNOG00000050337,0.0566,0.0408,ortholog_one2many,0
ENSMUSG00000063364,ENSRNOG00000050230,0.0655,0.144,ortholog_one2many,0
ENSMUSG00000063364,ENSRNOG00000046638,0.0655,0.144,ortholog_one2many,0
ENSMUSG00000063364,ENSRNOG00000050729,0.0895,0.0426,ortholog_one2many,0
ENSMUSG00000022360,ENSRNOG00000025604,0.0378,0.2218,ortholog_one2one,1
ENSMUSG00000095315,ENSRNOG00000036747,0.1842,0.4708,ortholog_one2many,0
ENSMUSG00000017221,ENSRNOG00000028103,9e-04,0.1889,ortholog_one2one,1
ENSMUSG00000024077,ENSRNOG00000004806,0.0102,0.2162,ortholog_one2one,1
ENSMUSG00000033819,ENSRNOG00000015450,0.0298,0.179,ortholog_one2one,1
ENSMUSG00000026520,ENSRNOG00000003267,0.0042,0.208,ortholog_one2one,1
ENSMUSG00000062585,ENSRNOG00000009260,0.0396,0.2947,ortholog_one2one,0
ENSMUSG00000026315,ENSRNOG00000002396,0.0434,0.1734,ortholog_one2one,1
ENSMUSG00000060534,ENSRNOG00000033099,0.0097,0.203,ortholog_one2one,1
ENSMUSG00000050608,ENSRNOG00000042696,0.032,0.126,ortholog_one2one,1
ENSMUSG00000002768,ENSRNOG00000017144,0,0,ortholog_one2one,1
ENSMUSG00000030292,ENSRNOG00000026883,0.1783,0.3609,ortholog_one2one,0
ENSMUSG00000025401,ENSRNOG00000004177,0.0255,0.2326,ortholog_one2one,1
ENSMUSG00000054405,ENSRNOG00000013255,0.0597,0.2257,ortholog_one2one,1
ENSMUSG00000027298,ENSRNOG00000058586,0.0144,0.1394,ortholog_one2one,1
ENSMUSG00000067377,ENSRNOG00000003786,0.0057,0.1375,ortholog_one2one,1
ENSMUSG00000046962,ENSRNOG00000001623,0.0141,0.0972,ortholog_one2one,0
ENSMUSG00000056167,ENSRNOG00000052305,0.0103,0.209,ortholog_one2one,0
ENSMUSG00000049680,ENSRNOG00000012184,0.0171,0.2389,ortholog_one2one,1
ENSMUSG00000047844,ENSRNOG00000060103,0.0558,0.1688,ortholog_one2many,1
ENSMUSG00000036907,ENSRNOG00000046863,0.0053,0.1719,ortholog_one2one,1
ENSMUSG00000020182,ENSRNOG00000004327,0.0202,0.2269,ortholog_one2one,1
ENSMUSG00000052142,ENSRNOG00000006167,0.0434,0.1664,ortholog_one2one,1
ENSMUSG00000038195,ENSRNOG00000003784,0.0691,0.1841,ortholog_one2one,1
ENSMUSG00000031841,ENSRNOG00000014371,0.0097,0.1798,ortholog_one2one,1
ENSMUSG00000051236,ENSRNOG00000042668,0.0207,0.187,ortholog_one2one,0
ENSMUSG00000063415,ENSRNOG00000015076,0.0026,0.2071,ortholog_one2one,1
ENSMUSG00000013415,ENSRNOG00000006122,0.0031,0.2732,ortholog_one2one,1
ENSMUSG00000032089,ENSRNOG00000016308,0.108,0.2073,ortholog_one2one,1
ENSMUSG00000034063,ENSRNOG00000022155,0.0759,0.1761,ortholog_one2one,1
ENSMUSG00000045975,ENSRNOG00000001621,0.0489,0.1702,ortholog_one2one,1
ENSMUSG00000019810,ENSRNOG00000015551,0.0494,0.3156,ortholog_one2one,1
ENSMUSG00000039414,ENSRNOG00000025926,0.0153,0.2548,ortholog_one2one,1
ENSMUSG00000026715,ENSRNOG00000002783,0.0285,0.1576,ortholog_one2one,1
ENSMUSG00000039851,ENSRNOG00000028670,0.0974,0.2649,ortholog_one2one,0
ENSMUSG00000025081,ENSRNOG00000017064,0.0656,0.2867,ortholog_one2one,1
ENSMUSG00000047881,ENSRNOG00000002192,0.0211,0.2555,ortholog_one2one,1
ENSMUSG00000038453,ENSRNOG00000011475,0.0091,0.2064,ortholog_one2one,1
ENSMUSG00000017801,ENSRNOG00000019983,0.0048,0.0994,ortholog_one2one,1
ENSMUSG00000061947,ENSRNOG00000048988,0.0673,0.1887,ortholog_one2many,0
ENSMUSG00000061947,ENSRNOG00000050761,0.0673,0.1887,ortholog_one2many,1
ENSMUSG00000068749,ENSRNOG00000019868,0,0,ortholog_one2one,1
ENSMUSG00000026725,ENSRNOG00000002548,0.0134,0.2082,ortholog_one2one,1
ENSMUSG00000025743,ENSRNOG00000011927,0.0219,0.1706,ortholog_one2one,1
ENSMUSG00000040797,ENSRNOG00000014083,0.0123,0.199,ortholog_one2one,1
ENSMUSG00000004939,ENSRNOG00000042897,0.0302,0.1492,ortholog_one2one,0
ENSMUSG00000034958,ENSRNOG00000020407,0.0109,0.2871,ortholog_one2one,1
ENSMUSG00000050232,ENSRNOG00000003305,0.0193,0.1793,ortholog_one2one,1
ENSMUSG00000064246,ENSRNOG00000053272,0.1445,0.2532,ortholog_one2one,0
ENSMUSG00000092277,ENSRNOG00000058490,0.2945,0.2479,ortholog_one2many,0
ENSMUSG00000051579,ENSRNOG00000028585,0.0111,0.1701,ortholog_one2one,1
ENSMUSG00000079471,ENSRNOG00000042497,0.0359,0.1402,ortholog_one2one,0
ENSMUSG00000092243,ENSRNOG00000029001,0.1627,0.2775,ortholog_one2many,0
ENSMUSG00000020477,ENSRNOG00000011979,0.0573,0.2011,ortholog_one2one,1
ENSMUSG00000038067,ENSRNOG00000008525,0.0783,0.2761,ortholog_one2one,0
ENSMUSG00000036825,ENSRNOG00000015425,0.0368,0.29,ortholog_one2one,1
ENSMUSG00000025332,ENSRNOG00000057706,0.0445,0.1421,ortholog_one2one,1
ENSMUSG00000045010,ENSRNOG00000025211,0.1727,0.2912,ortholog_one2one,0
ENSMUSG00000027649,ENSRNOG00000012021,0.0064,0.2001,ortholog_one2one,1
ENSMUSG00000079491,ENSRNOG00000029386,0.3385,0.409,ortholog_many2many,0
ENSMUSG00000079491,ENSRNOG00000000795,0.2598,0.3403,ortholog_many2many,0
ENSMUSG00000043467,ENSRNOG00000026907,0.0105,0.1497,ortholog_one2one,1
ENSMUSG00000043155,ENSRNOG00000018143,0.0297,0.1955,ortholog_one2one,1
ENSMUSG00000047721,ENSRNOG00000047988,0.0054,0.0347,ortholog_one2one,1
ENSMUSG00000059089,ENSRNOG00000024382,0.1086,0.2273,ortholog_one2one,1
ENSMUSG00000050945,ENSRNOG00000028329,0.1,0.1824,ortholog_one2one,1
ENSMUSG00000020105,ENSRNOG00000007654,0.0245,0.2448,ortholog_one2one,1
ENSMUSG00000019826,ENSRNOG00000000308,0.0625,0.3414,ortholog_one2one,1
ENSMUSG00000046774,ENSRNOG00000025200,0.1581,0.1778,ortholog_one2one,0
ENSMUSG00000054034,ENSRNOG00000046280,0.0143,0.1009,ortholog_one2one,1
ENSMUSG00000079487,ENSRNOG00000003848,0.004,0.1266,ortholog_one2one,1
ENSMUSG00000021754,ENSRNOG00000013177,0.0305,0.2896,ortholog_one2many,1
ENSMUSG00000021754,ENSRNOG00000050275,0.0278,0.2938,ortholog_one2many,1
ENSMUSG00000030707,ENSRNOG00000019430,0.005,0.1457,ortholog_one2one,1
ENSMUSG00000028167,ENSRNOG00000014490,0.0223,0.266,ortholog_one2one,1
ENSMUSG00000026390,ENSRNOG00000049303,0.0879,0.1413,ortholog_one2one,0
ENSMUSG00000020857,ENSRNOG00000002671,0.0061,0.188,ortholog_one2one,1
ENSMUSG00000029392,ENSRNOG00000001055,0.0082,0.2772,ortholog_one2one,1
ENSMUSG00000050071,ENSRNOG00000033844,0.0539,0.4523,ortholog_one2one,0
ENSMUSG00000020687,ENSRNOG00000005904,0.0078,0.1192,ortholog_one2one,1
ENSMUSG00000036244,ENSRNOG00000008737,0.0232,0.1525,ortholog_one2one,1
ENSMUSG00000073961,ENSRNOG00000015689,0.0269,0.1598,ortholog_one2many,1
ENSMUSG00000043671,ENSRNOG00000021573,0.013,0.2043,ortholog_one2one,1
ENSMUSG00000006360,ENSRNOG00000027990,0,0,ortholog_one2one,1
ENSMUSG00000079428,ENSRNOG00000037645,0.0352,0.1986,ortholog_one2one,1
ENSMUSG00000060807,ENSRNOG00000009438,0.1239,0.1909,ortholog_one2one,0
ENSMUSG00000090272,ENSRNOG00000003486,0.4369,0.7011,ortholog_one2many,0
ENSMUSG00000028673,ENSRNOG00000009325,0.078,0.3129,ortholog_one2one,1
ENSMUSG00000027303,ENSRNOG00000021223,0.009,0.1461,ortholog_one2one,1
ENSMUSG00000009210,ENSRNOG00000060193,0.0685,0.2504,ortholog_one2one,1
ENSMUSG00000047034,ENSRNOG00000049733,0.0629,0.2419,ortholog_one2one,0
ENSMUSG00000020657,ENSRNOG00000003988,0.0771,0.3558,ortholog_one2one,0
ENSMUSG00000094194,ENSRNOG00000050102,0.0927,0.3141,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000056828,0.0978,0.2946,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000054965,0.1728,0.2913,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000049243,0.1125,0.3281,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000056285,0.1235,0.3035,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000048458,0.1688,0.3402,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000031848,0.0927,0.3141,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000051768,0.1688,0.3402,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000056760,0.1688,0.3402,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000053103,0.1235,0.3035,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000058562,0.1217,0.2847,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000055719,0.1201,0.2812,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000050118,0.1559,0.3678,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000050912,0.1125,0.3281,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000058352,0.1477,0.2973,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000051653,0.1661,0.3511,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000053312,0.0966,0.2907,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000059121,0.141,0.3502,ortholog_many2many,0
ENSMUSG00000094194,ENSRNOG00000055475,0.1728,0.2913,ortholog_many2many,0
